frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
67308.640625,5000,32,16384,512,1024,-60.0,60.0
57184.953125,5000,32,16384,512,2048,-60.0,60.0
52074.671875,5000,32,16384,512,4096,-60.0,60.0
49379.015625,5000,32,16384,512,8192,-60.0,60.0
47981.140625,5000,32,16384,512,16384,-60.0,60.0
47274.25,5000,32,16384,512,32768,-60.0,60.0
46970.390625,5000,32,16384,512,65536,-60.0,60.0
139293.59375,5000,32,16384,1024,2048,-60.0,60.0
120562.03125,5000,32,16384,1024,4096,-60.0,60.0
111162.0,5000,32,16384,1024,8192,-60.0,60.0
106030.34375,5000,32,16384,1024,16384,-60.0,60.0
103645.53125,5000,32,16384,1024,32768,-60.0,60.0
102529.4375,5000,32,16384,1024,65536,-60.0,60.0
294193.9375,5000,32,16384,2048,4096,-60.0,60.0
264581.75,5000,32,16384,2048,8192,-60.0,60.0
248929.875,5000,32,16384,2048,16384,-60.0,60.0
241125.625,5000,32,16384,2048,32768,-60.0,60.0
237538.0625,5000,32,16384,2048,65536,-60.0,60.0
644227.375,5000,32,16384,4096,8192,-60.0,60.0
604258.125,5000,32,16384,4096,16384,-60.0,60.0
584694.25,5000,32,16384,4096,32768,-60.0,60.0
575436.375,5000,32,16384,4096,65536,-60.0,60.0
50506.34375,10000,32,16384,512,1024,-60.0,60.0
37065.125,10000,32,16384,512,2048,-60.0,60.0
30235.234375,10000,32,16384,512,4096,-60.0,60.0
26814.84375,10000,32,16384,512,8192,-60.0,60.0
24977.671875,10000,32,16384,512,16384,-60.0,60.0
24055.765625,10000,32,16384,512,32768,-60.0,60.0
23698.4375,10000,32,16384,512,65536,-60.0,60.0
103569.71875,10000,32,16384,1024,2048,-60.0,60.0
78161.15625,10000,32,16384,1024,4096,-60.0,60.0
65519.90625,10000,32,16384,1024,8192,-60.0,60.0
58835.375,10000,32,16384,1024,16384,-60.0,60.0
55506.15625,10000,32,16384,1024,32768,-60.0,60.0
54098.21875,10000,32,16384,1024,65536,-60.0,60.0
212919.0,10000,32,16384,2048,4096,-60.0,60.0
171356.625,10000,32,16384,2048,8192,-60.0,60.0
149553.4375,10000,32,16384,2048,16384,-60.0,60.0
138643.5,10000,32,16384,2048,32768,-60.0,60.0
133602.125,10000,32,16384,2048,65536,-60.0,60.0
472579.0,10000,32,16384,4096,8192,-60.0,60.0
415434.875,10000,32,16384,4096,16384,-60.0,60.0
387180.375,10000,32,16384,4096,32768,-60.0,60.0
373731.875,10000,32,16384,4096,65536,-60.0,60.0
59316.8125,20000,32,16384,512,1024,-60.0,60.0
47579.40625,20000,32,16384,512,2048,-60.0,60.0
41761.40625,20000,32,16384,512,4096,-60.0,60.0
38935.265625,20000,32,16384,512,8192,-60.0,60.0
37184.640625,20000,32,16384,512,16384,-60.0,60.0
36363.734375,20000,32,16384,512,32768,-60.0,60.0
36035.0,20000,32,16384,512,65536,-60.0,60.0
118506.0625,20000,32,16384,1024,2048,-60.0,60.0
97419.9375,20000,32,16384,1024,4096,-60.0,60.0
86772.46875,20000,32,16384,1024,8192,-60.0,60.0
80847.6875,20000,32,16384,1024,16384,-60.0,60.0
78027.78125,20000,32,16384,1024,32768,-60.0,60.0
76810.0625,20000,32,16384,1024,65536,-60.0,60.0
242935.5625,20000,32,16384,2048,4096,-60.0,60.0
207729.125,20000,32,16384,2048,8192,-60.0,60.0
188790.6875,20000,32,16384,2048,16384,-60.0,60.0
179676.9375,20000,32,16384,2048,32768,-60.0,60.0
175555.25,20000,32,16384,2048,65536,-60.0,60.0
521946.0,20000,32,16384,4096,8192,-60.0,60.0
472699.25,20000,32,16384,4096,16384,-60.0,60.0
448596.875,20000,32,16384,4096,32768,-60.0,60.0
437359.5,20000,32,16384,4096,65536,-60.0,60.0
50618.59375,40000,32,16384,512,1024,-60.0,60.0
37236.140625,40000,32,16384,512,2048,-60.0,60.0
30278.21875,40000,32,16384,512,4096,-60.0,60.0
26812.890625,40000,32,16384,512,8192,-60.0,60.0
24860.109375,40000,32,16384,512,16384,-60.0,60.0
23996.6875,40000,32,16384,512,32768,-60.0,60.0
23624.71875,40000,32,16384,512,65536,-60.0,60.0
101222.09375,40000,32,16384,1024,2048,-60.0,60.0
76064.59375,40000,32,16384,1024,4096,-60.0,60.0
63547.875,40000,32,16384,1024,8192,-60.0,60.0
56687.59375,40000,32,16384,1024,16384,-60.0,60.0
53443.9375,40000,32,16384,1024,32768,-60.0,60.0
52007.96875,40000,32,16384,1024,65536,-60.0,60.0
206115.1875,40000,32,16384,2048,4096,-60.0,60.0
163890.375,40000,32,16384,2048,8192,-60.0,60.0
141620.375,40000,32,16384,2048,16384,-60.0,60.0
130812.6875,40000,32,16384,2048,32768,-60.0,60.0
125774.3125,40000,32,16384,2048,65536,-60.0,60.0
444124.75,40000,32,16384,4096,8192,-60.0,60.0
384824.375,40000,32,16384,4096,16384,-60.0,60.0
355662.375,40000,32,16384,4096,32768,-60.0,60.0
341920.375,40000,32,16384,4096,65536,-60.0,60.0
51947.859375,60000,32,16384,512,1024,-60.0,60.0
39457.21875,60000,32,16384,512,2048,-60.0,60.0
32637.5625,60000,32,16384,512,4096,-60.0,60.0
29391.890625,60000,32,16384,512,8192,-60.0,60.0
27430.984375,60000,32,16384,512,16384,-60.0,60.0
26567.0,60000,32,16384,512,32768,-60.0,60.0
26165.203125,60000,32,16384,512,65536,-60.0,60.0
104008.71875,60000,32,16384,1024,2048,-60.0,60.0
79900.84375,60000,32,16384,1024,4096,-60.0,60.0
68163.78125,60000,32,16384,1024,8192,-60.0,60.0
61490.03125,60000,32,16384,1024,16384,-60.0,60.0
58361.34375,60000,32,16384,1024,32768,-60.0,60.0
56933.59375,60000,32,16384,1024,65536,-60.0,60.0
208511.25,60000,32,16384,2048,4096,-60.0,60.0
