batches,log_likelihood,neg_loglike,neg_log_likelihood
5000,-59.615729171262785,,59.615729171262785
10000,-58.74589967340889,,58.74589967340889
20000,-57.289137888637065,,57.289137888637065
20000,-60.55317456976818,,60.55317456976818
40000,-39.79289245921292,,39.79289245921292
60000,-32.47426290393569,,32.47426290393569
80000,-21.61589130502132,,21.61589130502132
100000,-17.552545085468758,,17.552545085468758
110000,-17.328423985720512,,17.328423985720512
120000,-16.0158066068434,,16.0158066068434
130000,-15.878486080852802,,15.878486080852802
140000,-14.978275629584935,,14.978275629584935
150000,-59.51921455108004,,59.51921455108004
