frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
172190.34,0,32,16384,128,256
164659.47,0,32,16384,128,512
159515.31,0,32,16384,128,1024
158369.08,0,32,16384,128,2048
157454.83,0,32,16384,128,4096
156870.72,0,32,16384,128,8192
42167.234,20000,32,16384,128,256
42528.79,20000,32,16384,128,512
42886.156,20000,32,16384,128,1024
42781.805,20000,32,16384,128,2048
42899.84,20000,32,16384,128,4096
43179.652,20000,32,16384,128,8192
41972.867,40000,32,16384,128,256
43063.1,40000,32,16384,128,512
43909.043,40000,32,16384,128,1024
43796.0,40000,32,16384,128,2048
44234.1,40000,32,16384,128,4096
44499.945,40000,32,16384,128,8192
39061.375,60000,32,16384,128,256
40099.15,60000,32,16384,128,512
40246.67,60000,32,16384,128,1024
40811.844,60000,32,16384,128,2048
41052.242,60000,32,16384,128,4096
41276.08,60000,32,16384,128,8192
39724.25,80000,32,16384,128,256
40294.355,80000,32,16384,128,512
42064.18,80000,32,16384,128,1024
41743.4,80000,32,16384,128,2048
42011.727,80000,32,16384,128,4096
42318.227,80000,32,16384,128,8192
39422.086,100000,32,16384,128,256
40877.918,100000,32,16384,128,512
40921.42,100000,32,16384,128,1024
41262.65,100000,32,16384,128,2048
41497.562,100000,32,16384,128,4096
41835.484,100000,32,16384,128,8192
39277.4,110000,32,16384,128,256
39943.242,110000,32,16384,128,512
40939.9,110000,32,16384,128,1024
41121.652,110000,32,16384,128,2048
41343.637,110000,32,16384,128,4096
41569.918,110000,32,16384,128,8192
37201.953,120000,32,16384,128,256
38850.863,120000,32,16384,128,512
39890.562,120000,32,16384,128,1024
39506.18,120000,32,16384,128,2048
39921.848,120000,32,16384,128,4096
40396.574,120000,32,16384,128,8192
39589.72,130000,32,16384,128,256
40468.03,130000,32,16384,128,512
41767.453,130000,32,16384,128,1024
41823.555,130000,32,16384,128,2048
41626.465,130000,32,16384,128,4096
41836.836,130000,32,16384,128,8192
36831.977,140000,32,16384,128,256
38528.86,140000,32,16384,128,512
39469.77,140000,32,16384,128,1024
39691.625,140000,32,16384,128,2048
39897.43,140000,32,16384,128,4096
40027.797,140000,32,16384,128,8192
37933.918,150000,32,16384,128,256
39724.273,150000,32,16384,128,512
40070.633,150000,32,16384,128,1024
40034.117,150000,32,16384,128,2048
40051.047,150000,32,16384,128,4096
40116.18,150000,32,16384,128,8192
38731.695,160000,32,16384,128,256
40187.785,160000,32,16384,128,512
41393.35,160000,32,16384,128,1024
41070.85,160000,32,16384,128,2048
41602.406,160000,32,16384,128,4096
41659.227,160000,32,16384,128,8192
38860.39,170000,32,16384,128,256
39562.266,170000,32,16384,128,512
41126.258,170000,32,16384,128,1024
41226.484,170000,32,16384,128,2048
41537.047,170000,32,16384,128,4096
41689.598,170000,32,16384,128,8192
38346.5,180000,32,16384,128,256
39632.184,180000,32,16384,128,512
40835.234,180000,32,16384,128,1024
40830.906,180000,32,16384,128,2048
40917.78,180000,32,16384,128,4096
41067.758,180000,32,16384,128,8192
40317.9,190000,32,16384,128,256
40937.586,190000,32,16384,128,512
41848.92,190000,32,16384,128,1024
42204.21,190000,32,16384,128,2048
42430.09,190000,32,16384,128,4096
42672.79,190000,32,16384,128,8192
41486.1,200000,32,16384,128,256
41234.023,200000,32,16384,128,512
41484.04,200000,32,16384,128,1024
41466.266,200000,32,16384,128,2048
41858.445,200000,32,16384,128,4096
41885.77,200000,32,16384,128,8192
37028.938,210000,32,16384,128,256
38624.13,210000,32,16384,128,512
39541.227,210000,32,16384,128,1024
39851.21,210000,32,16384,128,2048
40149.098,210000,32,16384,128,4096
40348.39,210000,32,16384,128,8192
39688.867,220000,32,16384,128,256
40534.688,220000,32,16384,128,512
40956.336,220000,32,16384,128,1024
41323.78,220000,32,16384,128,2048
41535.086,220000,32,16384,128,4096
41764.375,220000,32,16384,128,8192
40966.938,230000,32,16384,128,256
41094.39,230000,32,16384,128,512
41482.016,230000,32,16384,128,1024
41599.457,230000,32,16384,128,2048
41808.6,230000,32,16384,128,4096
41991.02,230000,32,16384,128,8192
40373.406,240000,32,16384,128,256
41303.227,240000,32,16384,128,512
41787.836,240000,32,16384,128,1024
41543.305,240000,32,16384,128,2048
41779.242,240000,32,16384,128,4096
41941.402,240000,32,16384,128,8192
39118.535,250000,32,16384,128,256
40858.914,250000,32,16384,128,512
41406.543,250000,32,16384,128,1024
41557.266,250000,32,16384,128,2048
41917.836,250000,32,16384,128,4096
42079.254,250000,32,16384,128,8192
38593.504,300000,32,16384,128,256
40320.656,300000,32,16384,128,512
41252.37,300000,32,16384,128,1024
41554.83,300000,32,16384,128,2048
41759.88,300000,32,16384,128,4096
41764.21,300000,32,16384,128,8192
37644.008,400000,32,16384,128,256
38547.4,400000,32,16384,128,512
39394.58,400000,32,16384,128,1024
39776.19,400000,32,16384,128,2048
40058.266,400000,32,16384,128,4096
40244.47,400000,32,16384,128,8192
38074.242,450000,32,16384,128,256
39199.1,450000,32,16384,128,512
39435.07,450000,32,16384,128,1024
39582.67,450000,32,16384,128,2048
39778.78,450000,32,16384,128,4096
40017.633,450000,32,16384,128,8192
39672.113,500000,32,16384,128,256
40633.41,500000,32,16384,128,512
41672.977,500000,32,16384,128,1024
42001.086,500000,32,16384,128,2048
42346.562,500000,32,16384,128,4096
42460.47,500000,32,16384,128,8192
