frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
130191.375,190000,32,16384,128,256
115235.83,190000,32,16384,128,512
101977.83,190000,32,16384,128,1024
98285.81,190000,32,16384,128,2048
82256.19,200000,32,16384,128,256
76896.81,200000,32,16384,128,512
70486.95,200000,32,16384,128,1024
67443.0,200000,32,16384,128,2048
81789.75,210000,32,16384,128,256
70887.81,210000,32,16384,128,512
64686.547,210000,32,16384,128,1024
61925.125,210000,32,16384,128,2048
239379.9,220000,32,16384,128,256
233790.53,220000,32,16384,128,512
214067.42,220000,32,16384,128,1024
202601.05,220000,32,16384,128,2048
107099.59,230000,32,16384,128,256
94801.45,230000,32,16384,128,512
88631.94,230000,32,16384,128,1024
84769.0,230000,32,16384,128,2048
202047.16,240000,32,16384,128,256
183090.78,240000,32,16384,128,512
175038.97,240000,32,16384,128,1024
170942.56,240000,32,16384,128,2048
131037.47,250000,32,16384,128,256
116880.08,250000,32,16384,128,512
109618.766,250000,32,16384,128,1024
110310.75,250000,32,16384,128,2048
297794.5,300000,32,16384,128,256
290544.28,300000,32,16384,128,512
282862.38,300000,32,16384,128,1024
279569.34,300000,32,16384,128,2048
275277.44,400000,32,16384,128,256
253755.28,400000,32,16384,128,512
237461.31,400000,32,16384,128,1024
229631.4,400000,32,16384,128,2048
168043.66,450000,32,16384,128,256
156711.97,450000,32,16384,128,512
149445.16,450000,32,16384,128,1024
144088.55,450000,32,16384,128,2048
257861.44,500000,32,16384,128,256
234513.05,500000,32,16384,128,512
218906.33,500000,32,16384,128,1024
216506.66,500000,32,16384,128,2048
