frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
9.606092e+16,0,32,16384,128,256
9.5483875e+16,0,32,16384,128,512
9.50117e+16,0,32,16384,128,1024
9.493145e+16,0,32,16384,128,2048
61747.156,20000,32,16384,128,256
52446.78,20000,32,16384,128,512
47553.734,20000,32,16384,128,1024
45073.188,20000,32,16384,128,2048
53241.023,40000,32,16384,128,256
44166.0,40000,32,16384,128,512
39688.0,40000,32,16384,128,1024
36938.92,40000,32,16384,128,2048
50545.61,60000,32,16384,128,256
39943.453,60000,32,16384,128,512
34945.156,60000,32,16384,128,1024
33044.5,60000,32,16384,128,2048
51671.844,80000,32,16384,128,256
41870.39,80000,32,16384,128,512
37375.156,80000,32,16384,128,1024
35101.36,80000,32,16384,128,2048
55346.766,100000,32,16384,128,256
44681.08,100000,32,16384,128,512
39679.97,100000,32,16384,128,1024
37628.22,100000,32,16384,128,2048
52634.953,110000,32,16384,128,256
42926.844,110000,32,16384,128,512
37865.938,110000,32,16384,128,1024
35447.062,110000,32,16384,128,2048
56349.17,120000,32,16384,128,256
46141.953,120000,32,16384,128,512
41152.953,120000,32,16384,128,1024
39214.094,120000,32,16384,128,2048
61938.03,130000,32,16384,128,256
52170.625,130000,32,16384,128,512
46792.03,130000,32,16384,128,1024
44438.33,130000,32,16384,128,2048
60430.97,140000,32,16384,128,256
50054.83,140000,32,16384,128,512
44775.14,140000,32,16384,128,1024
42468.83,140000,32,16384,128,2048
61680.906,150000,32,16384,128,256
50746.797,150000,32,16384,128,512
45681.875,150000,32,16384,128,1024
43403.156,150000,32,16384,128,2048
64371.39,160000,32,16384,128,256
55364.75,160000,32,16384,128,512
51145.22,160000,32,16384,128,1024
48778.5,160000,32,16384,128,2048
118381.95,170000,32,16384,128,256
102171.41,170000,32,16384,128,512
91946.69,170000,32,16384,128,1024
85422.22,170000,32,16384,128,2048
91299.11,180000,32,16384,128,256
78839.03,180000,32,16384,128,512
70326.375,180000,32,16384,128,1024
66506.734,180000,32,16384,128,2048
102519.11,190000,32,16384,128,256
91156.16,190000,32,16384,128,512
87349.91,190000,32,16384,128,1024
87468.2,190000,32,16384,128,2048
90788.61,200000,32,16384,128,256
76706.625,200000,32,16384,128,512
69643.875,200000,32,16384,128,1024
66749.95,200000,32,16384,128,2048
72475.75,210000,32,16384,128,256
61606.312,210000,32,16384,128,512
55227.125,210000,32,16384,128,1024
52902.656,210000,32,16384,128,2048
77660.66,220000,32,16384,128,256
67052.3,220000,32,16384,128,512
61594.406,220000,32,16384,128,1024
58287.875,220000,32,16384,128,2048
108433.86,230000,32,16384,128,256
86835.08,230000,32,16384,128,512
80714.58,230000,32,16384,128,1024
72754.84,230000,32,16384,128,2048
104352.78,240000,32,16384,128,256
94128.34,240000,32,16384,128,512
85866.875,240000,32,16384,128,1024
82969.41,240000,32,16384,128,2048
118246.56,250000,32,16384,128,256
103648.78,250000,32,16384,128,512
101200.31,250000,32,16384,128,1024
97372.66,250000,32,16384,128,2048
92163.234,300000,32,16384,128,256
82657.484,300000,32,16384,128,512
79541.69,300000,32,16384,128,1024
74776.41,300000,32,16384,128,2048
191606.97,400000,32,16384,128,256
174799.03,400000,32,16384,128,512
163852.78,400000,32,16384,128,1024
161881.31,400000,32,16384,128,2048
106694.75,450000,32,16384,128,256
91793.0,450000,32,16384,128,512
87640.95,450000,32,16384,128,1024
84486.375,450000,32,16384,128,2048
118584.11,500000,32,16384,128,256
104243.72,500000,32,16384,128,512
97486.375,500000,32,16384,128,1024
93062.97,500000,32,16384,128,2048
