frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
652308.56,0,32,16384,256,512
629490.5,0,32,16384,256,1024
622246.4,0,32,16384,256,2048
616174.5,0,32,16384,256,4096
613404.0,0,32,16384,256,8192
612313.9,0,32,16384,256,16384
612181.1,0,32,16384,256,32768
611461.25,0,32,16384,256,65536
1.3613292e+06,0,32,16384,512,1024
1.3230948e+06,0,32,16384,512,2048
1.3024118e+06,0,32,16384,512,4096
1.2885935e+06,0,32,16384,512,8192
1.283802e+06,0,32,16384,512,16384
1.2813152e+06,0,32,16384,512,32768
1.2801712e+06,0,32,16384,512,65536
70549.75,10000,32,16384,256,512
68783.445,10000,32,16384,256,1024
67181.19,10000,32,16384,256,2048
66464.95,10000,32,16384,256,4096
66080.89,10000,32,16384,256,8192
65841.984,10000,32,16384,256,16384
65502.242,10000,32,16384,256,32768
65225.97,10000,32,16384,256,65536
158753.38,10000,32,16384,512,1024
153594.77,10000,32,16384,512,2048
150976.66,10000,32,16384,512,4096
149409.53,10000,32,16384,512,8192
148719.81,10000,32,16384,512,16384
147911.02,10000,32,16384,512,32768
147306.47,10000,32,16384,512,65536
97569.875,20000,32,16384,256,512
99284.04,20000,32,16384,256,1024
98087.55,20000,32,16384,256,2048
98853.06,20000,32,16384,256,4096
98942.95,20000,32,16384,256,8192
98861.16,20000,32,16384,256,16384
99064.336,20000,32,16384,256,32768
99200.16,20000,32,16384,256,65536
223767.78,20000,32,16384,512,1024
221542.03,20000,32,16384,512,2048
222923.62,20000,32,16384,512,4096
222386.17,20000,32,16384,512,8192
222534.83,20000,32,16384,512,16384
222658.45,20000,32,16384,512,32768
222762.39,20000,32,16384,512,65536
96977.34,30000,32,16384,256,512
99456.03,30000,32,16384,256,1024
99679.766,30000,32,16384,256,2048
100070.42,30000,32,16384,256,4096
100369.99,30000,32,16384,256,8192
100227.05,30000,32,16384,256,16384
100345.01,30000,32,16384,256,32768
100269.484,30000,32,16384,256,65536
220159.97,30000,32,16384,512,1024
220233.03,30000,32,16384,512,2048
221088.06,30000,32,16384,512,4096
221415.89,30000,32,16384,512,8192
221320.56,30000,32,16384,512,16384
221435.38,30000,32,16384,512,32768
221437.78,30000,32,16384,512,65536
97273.91,40000,32,16384,256,512
98266.945,40000,32,16384,256,1024
98998.16,40000,32,16384,256,2048
99246.36,40000,32,16384,256,4096
99825.47,40000,32,16384,256,8192
100045.29,40000,32,16384,256,16384
100274.664,40000,32,16384,256,32768
100234.58,40000,32,16384,256,65536
222494.2,40000,32,16384,512,1024
223978.9,40000,32,16384,512,2048
224428.2,40000,32,16384,512,4096
225017.75,40000,32,16384,512,8192
225477.44,40000,32,16384,512,16384
226029.97,40000,32,16384,512,32768
226061.89,40000,32,16384,512,65536
98156.805,60000,32,16384,256,512
99585.73,60000,32,16384,256,1024
100153.625,60000,32,16384,256,2048
99743.85,60000,32,16384,256,4096
100083.08,60000,32,16384,256,8192
100054.766,60000,32,16384,256,16384
100220.664,60000,32,16384,256,32768
100151.41,60000,32,16384,256,65536
221601.1,60000,32,16384,512,1024
222462.44,60000,32,16384,512,2048
222149.22,60000,32,16384,512,4096
222598.12,60000,32,16384,512,8192
222945.19,60000,32,16384,512,16384
223182.62,60000,32,16384,512,32768
223049.48,60000,32,16384,512,65536
101133.63,80000,32,16384,256,512
103561.16,80000,32,16384,256,1024
104265.81,80000,32,16384,256,2048
104437.72,80000,32,16384,256,4096
105152.266,80000,32,16384,256,8192
105227.97,80000,32,16384,256,16384
105499.06,80000,32,16384,256,32768
105477.72,80000,32,16384,256,65536
