Batch,Batch_Size,Train_Loss,Test_Loss,lr,grad_norm,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
200,32,0.08453133702278137,,0.0002,0.9999998211860657,0.03918614983558655,0.04534519091248512,,
400,32,0.041994474828243256,,0.0002,0.9999997615814209,0.021420424804091454,0.020574048161506653,,
600,32,0.06132558733224869,,0.0002,0.9999999403953552,0.04070112854242325,0.02062446065247059,,
800,32,0.024511972442269325,,0.0002,0.8334285616874695,0.012260796502232552,0.012251175940036774,,
1000,32,0.03606940805912018,,0.0002,0.9999996423721313,0.013561198487877846,0.02250821143388748,,
1200,32,0.09930641949176788,,0.0002,0.9999998807907104,0.05219587683677673,0.04711054265499115,,
1400,32,1.4615352153778076,,0.0002,0.9999997615814209,0.9184454679489136,0.543089747428894,,
1600,32,0.3083447515964508,,0.0002,0.9999999403953552,0.10882808268070221,0.1995166689157486,,
1800,32,0.050833724439144135,,0.0002,0.9999992847442627,0.02086089923977852,0.029972827062010765,,
2000,32,0.031563498079776764,,0.0002,0.9999991655349731,0.014321329072117805,0.01724216714501381,,
2200,32,0.3570222854614258,,0.0002,0.9999999403953552,0.16676968336105347,0.19025258719921112,,
2400,32,0.037060827016830444,,0.0002,0.9999998807907104,0.015675563365221024,0.02138526178896427,,
2600,32,0.026245342567563057,,0.0002,0.999999463558197,0.012871856801211834,0.013373485766351223,,
2800,32,0.01827666535973549,,0.0002,0.17096808552742004,0.009268427267670631,0.009008237160742283,,
3000,32,0.024491816759109497,,0.0002,0.9999996423721313,0.010003246366977692,0.01448857132345438,,
3200,32,0.039244651794433594,,0.0002,0.9999998211860657,0.013965621590614319,0.025279030203819275,,
3400,32,0.13112545013427734,,0.0002,1.0000001192092896,0.035650964826345444,0.0954744815826416,,
3600,32,0.02375260926783085,,0.0002,0.315467894077301,0.011872988194227219,0.01187962107360363,,
3800,32,0.02510567381978035,,0.0002,0.5207767486572266,0.01258572842925787,0.01251994539052248,,
4000,32,0.3064621090888977,,0.0002,0.9999998807907104,0.19984014332294464,0.10662195086479187,,
4200,32,0.018985871225595474,,0.0002,0.22164228558540344,0.010041655041277409,0.008944215252995491,,
4400,32,0.027508307248353958,,0.0002,0.9999997615814209,0.01013781875371933,0.01737048849463463,,
4600,32,0.01662508212029934,,0.0002,0.999999463558197,0.005491750780493021,0.011133330874145031,,
