frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
38113.57,20000,32,16384,128,256
38474.426,20000,32,16384,128,512
38885.055,20000,32,16384,128,1024
39265.043,20000,32,16384,128,2048
39237.156,20000,32,16384,128,4096
39302.64,20000,32,16384,128,8192
39248.516,20000,32,16384,128,16384
39183.61,20000,32,16384,128,32768
39235.516,20000,32,16384,128,65536
41180.934,40000,32,16384,128,256
42219.793,40000,32,16384,128,512
42924.91,40000,32,16384,128,1024
43237.15,40000,32,16384,128,2048
43206.117,40000,32,16384,128,4096
43408.914,40000,32,16384,128,8192
43488.277,40000,32,16384,128,16384
43543.29,40000,32,16384,128,32768
43488.344,40000,32,16384,128,65536
38335.85,60000,32,16384,128,256
39160.04,60000,32,16384,128,512
39889.14,60000,32,16384,128,1024
39623.617,60000,32,16384,128,2048
39884.473,60000,32,16384,128,4096
40106.92,60000,32,16384,128,8192
40054.234,60000,32,16384,128,16384
40040.42,60000,32,16384,128,32768
40055.746,60000,32,16384,128,65536
38585.336,80000,32,16384,128,256
39410.188,80000,32,16384,128,512
40148.996,80000,32,16384,128,1024
39712.66,80000,32,16384,128,2048
39719.715,80000,32,16384,128,4096
39729.57,80000,32,16384,128,8192
39716.477,80000,32,16384,128,16384
39723.85,80000,32,16384,128,32768
39754.164,80000,32,16384,128,65536
40703.05,100000,32,16384,128,256
41811.47,100000,32,16384,128,512
42652.125,100000,32,16384,128,1024
42691.355,100000,32,16384,128,2048
42478.773,100000,32,16384,128,4096
42600.258,100000,32,16384,128,8192
42627.766,100000,32,16384,128,16384
42653.58,100000,32,16384,128,32768
42664.26,100000,32,16384,128,65536
43784.11,110000,32,16384,128,256
46403.117,110000,32,16384,128,512
46422.742,110000,32,16384,128,1024
46215.594,110000,32,16384,128,2048
46418.664,110000,32,16384,128,4096
46690.86,110000,32,16384,128,8192
46638.297,110000,32,16384,128,16384
46575.953,110000,32,16384,128,32768
46461.133,110000,32,16384,128,65536
37953.312,120000,32,16384,128,256
38777.418,120000,32,16384,128,512
39749.055,120000,32,16384,128,1024
39635.88,120000,32,16384,128,2048
39735.93,120000,32,16384,128,4096
39967.97,120000,32,16384,128,8192
39857.883,120000,32,16384,128,16384
39953.195,120000,32,16384,128,32768
39930.914,120000,32,16384,128,65536
38559.55,130000,32,16384,128,256
40351.062,130000,32,16384,128,512
41427.0,130000,32,16384,128,1024
41709.25,130000,32,16384,128,2048
41636.555,130000,32,16384,128,4096
41752.707,130000,32,16384,128,8192
41737.586,130000,32,16384,128,16384
41858.746,130000,32,16384,128,32768
41830.08,130000,32,16384,128,65536
41174.688,140000,32,16384,128,256
41205.992,140000,32,16384,128,512
41695.258,140000,32,16384,128,1024
41692.555,140000,32,16384,128,2048
41462.14,140000,32,16384,128,4096
41516.594,140000,32,16384,128,8192
41487.984,140000,32,16384,128,16384
41551.047,140000,32,16384,128,32768
41521.035,140000,32,16384,128,65536
39285.1,150000,32,16384,128,256
41368.24,150000,32,16384,128,512
41968.766,150000,32,16384,128,1024
42600.168,150000,32,16384,128,2048
42632.824,150000,32,16384,128,4096
42708.35,150000,32,16384,128,8192
42726.4,150000,32,16384,128,16384
42759.36,150000,32,16384,128,32768
42667.805,150000,32,16384,128,65536
40597.484,160000,32,16384,128,256
40941.098,160000,32,16384,128,512
40689.02,160000,32,16384,128,1024
40456.348,160000,32,16384,128,2048
40543.887,160000,32,16384,128,4096
40614.188,160000,32,16384,128,8192
40509.977,160000,32,16384,128,16384
40560.406,160000,32,16384,128,32768
40535.965,160000,32,16384,128,65536
42723.47,170000,32,16384,128,256
43746.67,170000,32,16384,128,512
44407.86,170000,32,16384,128,1024
43933.17,170000,32,16384,128,2048
43923.43,170000,32,16384,128,4096
43881.906,170000,32,16384,128,8192
44053.773,170000,32,16384,128,16384
44270.758,170000,32,16384,128,32768
44265.777,170000,32,16384,128,65536
39898.086,180000,32,16384,128,256
40925.336,180000,32,16384,128,512
41403.062,180000,32,16384,128,1024
41490.566,180000,32,16384,128,2048
41566.742,180000,32,16384,128,4096
42000.684,180000,32,16384,128,8192
42021.754,180000,32,16384,128,16384
42017.91,180000,32,16384,128,32768
41959.75,180000,32,16384,128,65536
42382.39,190000,32,16384,128,256
43145.25,190000,32,16384,128,512
44128.957,190000,32,16384,128,1024
44347.977,190000,32,16384,128,2048
44512.785,190000,32,16384,128,4096
44454.508,190000,32,16384,128,8192
44446.297,190000,32,16384,128,16384
44391.18,190000,32,16384,128,32768
44359.023,190000,32,16384,128,65536
