frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
234309.38,0,32,16384,128,256
227724.97,0,32,16384,128,512
225024.5,0,32,16384,128,1024
223081.38,0,32,16384,128,2048
221862.95,0,32,16384,128,4096
221490.6,0,32,16384,128,8192
221345.94,0,32,16384,128,16384
221024.0,0,32,16384,128,32768
221006.97,0,32,16384,128,65536
40058.348,20000,32,16384,128,256
41992.18,20000,32,16384,128,512
42343.977,20000,32,16384,128,1024
42786.44,20000,32,16384,128,2048
42961.06,20000,32,16384,128,4096
43200.695,20000,32,16384,128,8192
43289.918,20000,32,16384,128,16384
43232.32,20000,32,16384,128,32768
43234.566,20000,32,16384,128,65536
42113.43,40000,32,16384,128,256
42506.38,40000,32,16384,128,512
43305.78,40000,32,16384,128,1024
43734.227,40000,32,16384,128,2048
44293.367,40000,32,16384,128,4096
44121.305,40000,32,16384,128,8192
44244.062,40000,32,16384,128,16384
44199.094,40000,32,16384,128,32768
44207.05,40000,32,16384,128,65536
38179.867,60000,32,16384,128,256
39679.684,60000,32,16384,128,512
40502.85,60000,32,16384,128,1024
40878.78,60000,32,16384,128,2048
40748.133,60000,32,16384,128,4096
40849.25,60000,32,16384,128,8192
40778.008,60000,32,16384,128,16384
40857.008,60000,32,16384,128,32768
40869.11,60000,32,16384,128,65536
39566.656,80000,32,16384,128,256
41617.21,80000,32,16384,128,512
42597.336,80000,32,16384,128,1024
43380.5,80000,32,16384,128,2048
43730.094,80000,32,16384,128,4096
43745.4,80000,32,16384,128,8192
43789.504,80000,32,16384,128,16384
43723.695,80000,32,16384,128,32768
43747.348,80000,32,16384,128,65536
44867.32,100000,32,16384,128,256
46553.434,100000,32,16384,128,512
47634.766,100000,32,16384,128,1024
47235.42,100000,32,16384,128,2048
46927.72,100000,32,16384,128,4096
47328.62,100000,32,16384,128,8192
47233.42,100000,32,16384,128,16384
47017.03,100000,32,16384,128,32768
47191.414,100000,32,16384,128,65536
39085.47,110000,32,16384,128,256
40503.902,110000,32,16384,128,512
41694.816,110000,32,16384,128,1024
42197.85,110000,32,16384,128,2048
42438.61,110000,32,16384,128,4096
42433.465,110000,32,16384,128,8192
42529.49,110000,32,16384,128,16384
42392.438,110000,32,16384,128,32768
42472.758,110000,32,16384,128,65536
38093.05,120000,32,16384,128,256
39081.387,120000,32,16384,128,512
39967.03,120000,32,16384,128,1024
39992.727,120000,32,16384,128,2048
40276.453,120000,32,16384,128,4096
40403.08,120000,32,16384,128,8192
40473.164,120000,32,16384,128,16384
40536.543,120000,32,16384,128,32768
40570.758,120000,32,16384,128,65536
37069.812,130000,32,16384,128,256
38948.258,130000,32,16384,128,512
39999.1,130000,32,16384,128,1024
40616.367,130000,32,16384,128,2048
40828.68,130000,32,16384,128,4096
40867.14,130000,32,16384,128,8192
40964.453,130000,32,16384,128,16384
41021.336,130000,32,16384,128,32768
41103.805,130000,32,16384,128,65536
40004.64,140000,32,16384,128,256
42783.33,140000,32,16384,128,512
43567.375,140000,32,16384,128,1024
43792.24,140000,32,16384,128,2048
43826.375,140000,32,16384,128,4096
43844.61,140000,32,16384,128,8192
43820.562,140000,32,16384,128,16384
43867.53,140000,32,16384,128,32768
43834.848,140000,32,16384,128,65536
39771.32,150000,32,16384,128,256
41126.06,150000,32,16384,128,512
42305.664,150000,32,16384,128,1024
42519.184,150000,32,16384,128,2048
42813.86,150000,32,16384,128,4096
42927.305,150000,32,16384,128,8192
42937.344,150000,32,16384,128,16384
43036.22,150000,32,16384,128,32768
42988.68,150000,32,16384,128,65536
37280.83,160000,32,16384,128,256
38602.312,160000,32,16384,128,512
39271.72,160000,32,16384,128,1024
39882.19,160000,32,16384,128,2048
40311.24,160000,32,16384,128,4096
40487.797,160000,32,16384,128,8192
40427.715,160000,32,16384,128,16384
40520.71,160000,32,16384,128,32768
40531.598,160000,32,16384,128,65536
39101.96,170000,32,16384,128,256
40046.83,170000,32,16384,128,512
40713.758,170000,32,16384,128,1024
41045.82,170000,32,16384,128,2048
41333.523,170000,32,16384,128,4096
41229.574,170000,32,16384,128,8192
41280.59,170000,32,16384,128,16384
41364.5,170000,32,16384,128,32768
41396.36,170000,32,16384,128,65536
38230.074,180000,32,16384,128,256
40081.516,180000,32,16384,128,512
40865.906,180000,32,16384,128,1024
40834.523,180000,32,16384,128,2048
41137.367,180000,32,16384,128,4096
41243.953,180000,32,16384,128,8192
41373.152,180000,32,16384,128,16384
41490.316,180000,32,16384,128,32768
41499.17,180000,32,16384,128,65536
39114.734,190000,32,16384,128,256
40272.02,190000,32,16384,128,512
40890.992,190000,32,16384,128,1024
41216.81,190000,32,16384,128,2048
41561.3,190000,32,16384,128,4096
41562.188,190000,32,16384,128,8192
41631.688,190000,32,16384,128,16384
41746.594,190000,32,16384,128,32768
41763.49,190000,32,16384,128,65536
38002.33,200000,32,16384,128,256
40343.883,200000,32,16384,128,512
41365.297,200000,32,16384,128,1024
41673.766,200000,32,16384,128,2048
41833.07,200000,32,16384,128,4096
41862.47,200000,32,16384,128,8192
41898.527,200000,32,16384,128,16384
41910.363,200000,32,16384,128,32768
41966.453,200000,32,16384,128,65536
40700.39,210000,32,16384,128,256
42556.62,210000,32,16384,128,512
42847.652,210000,32,16384,128,1024
43019.79,210000,32,16384,128,2048
43326.33,210000,32,16384,128,4096
43496.77,210000,32,16384,128,8192
43572.32,210000,32,16384,128,16384
43654.95,210000,32,16384,128,32768
43676.4,210000,32,16384,128,65536
41282.562,220000,32,16384,128,256
42114.57,220000,32,16384,128,512
42251.094,220000,32,16384,128,1024
42124.613,220000,32,16384,128,2048
42252.64,220000,32,16384,128,4096
42176.797,220000,32,16384,128,8192
42300.8,220000,32,16384,128,16384
42299.6,220000,32,16384,128,32768
42262.133,220000,32,16384,128,65536
37449.777,230000,32,16384,128,256
39274.3,230000,32,16384,128,512
40293.79,230000,32,16384,128,1024
40733.125,230000,32,16384,128,2048
41213.082,230000,32,16384,128,4096
41263.297,230000,32,16384,128,8192
41257.414,230000,32,16384,128,16384
41292.125,230000,32,16384,128,32768
41328.36,230000,32,16384,128,65536
40190.836,240000,32,16384,128,256
41392.883,240000,32,16384,128,512
41545.176,240000,32,16384,128,1024
41963.285,240000,32,16384,128,2048
42212.453,240000,32,16384,128,4096
42205.42,240000,32,16384,128,8192
42202.04,240000,32,16384,128,16384
42128.695,240000,32,16384,128,32768
42237.61,240000,32,16384,128,65536
38661.57,250000,32,16384,128,256
39669.15,250000,32,16384,128,512
40770.92,250000,32,16384,128,1024
40613.496,250000,32,16384,128,2048
40778.66,250000,32,16384,128,4096
40762.09,250000,32,16384,128,8192
40739.516,250000,32,16384,128,16384
40618.676,250000,32,16384,128,32768
40690.2,250000,32,16384,128,65536
38863.215,300000,32,16384,128,256
40458.2,300000,32,16384,128,512
41251.13,300000,32,16384,128,1024
41420.746,300000,32,16384,128,2048
41425.477,300000,32,16384,128,4096
41748.99,300000,32,16384,128,8192
41768.676,300000,32,16384,128,16384
41859.0,300000,32,16384,128,32768
41887.156,300000,32,16384,128,65536
40546.883,400000,32,16384,128,256
43233.582,400000,32,16384,128,512
43385.906,400000,32,16384,128,1024
43771.9,400000,32,16384,128,2048
43968.07,400000,32,16384,128,4096
43966.79,400000,32,16384,128,8192
43937.453,400000,32,16384,128,16384
44040.156,400000,32,16384,128,32768
44077.082,400000,32,16384,128,65536
