batches,log_likelihood
0,-60.0
20000,-67.4950238184741
40000,-58.201741396065394
60000,-50.810780860129555
80000,-53.99344377272452
100000,-43.71427799010126
110000,-48.07652643315369
120000,-46.57646753471802
130000,-52.07443616912242
140000,-40.023420803723965
150000,-46.09144025042271
160000,-46.003855611818025
170000,-40.39591090209247
180000,-38.006430715345715
190000,-34.8122899743951
200000,-35.27338189127583
210000,-39.0200403559325
220000,-46.24553396759189
230000,-37.69171385935438
240000,-35.90588222933688
250000,-36.196662323270175
300000,-32.858957364267006
400000,-29.61534125874585
