frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
1.9113555e+17,0,32,16384,256,512
1.9668083e+17,0,32,16384,256,1024
1.9916533e+17,0,32,16384,256,2048
2.0058769e+17,0,32,16384,256,4096
2.0113937e+17,0,32,16384,256,8192
2.0118654e+17,0,32,16384,256,16384
2.0134176e+17,0,32,16384,256,32768
2.0141483e+17,0,32,16384,256,65536
3.934225e+17,0,32,16384,512,1024
3.981308e+17,0,32,16384,512,2048
4.0122997e+17,0,32,16384,512,4096
4.024978e+17,0,32,16384,512,8192
4.0355513e+17,0,32,16384,512,16384
4.0397198e+17,0,32,16384,512,32768
4.0394535e+17,0,32,16384,512,65536
168822870000000.0,10000,32,16384,256,512
172824850000000.0,10000,32,16384,256,1024
174990020000000.0,10000,32,16384,256,2048
176284280000000.0,10000,32,16384,256,4096
176692150000000.0,10000,32,16384,256,8192
176865630000000.0,10000,32,16384,256,16384
176914670000000.0,10000,32,16384,256,32768
177003960000000.0,10000,32,16384,256,65536
344734540000000.0,10000,32,16384,512,1024
349668720000000.0,10000,32,16384,512,2048
351810670000000.0,10000,32,16384,512,4096
352758900000000.0,10000,32,16384,512,8192
353378840000000.0,10000,32,16384,512,16384
353305720000000.0,10000,32,16384,512,32768
353666160000000.0,10000,32,16384,512,65536
77929540000000.0,20000,32,16384,256,512
80443250000000.0,20000,32,16384,256,1024
81416110000000.0,20000,32,16384,256,2048
82223760000000.0,20000,32,16384,256,4096
82657130000000.0,20000,32,16384,256,8192
82800710000000.0,20000,32,16384,256,16384
82844165000000.0,20000,32,16384,256,32768
82887680000000.0,20000,32,16384,256,65536
160418740000000.0,20000,32,16384,512,1024
162567260000000.0,20000,32,16384,512,2048
164132100000000.0,20000,32,16384,512,4096
164554980000000.0,20000,32,16384,512,8192
164687720000000.0,20000,32,16384,512,16384
164857420000000.0,20000,32,16384,512,32768
164915120000000.0,20000,32,16384,512,65536
78001520000000.0,30000,32,16384,256,512
79306170000000.0,30000,32,16384,256,1024
80338110000000.0,30000,32,16384,256,2048
80919840000000.0,30000,32,16384,256,4096
81297220000000.0,30000,32,16384,256,8192
81302330000000.0,30000,32,16384,256,16384
81418510000000.0,30000,32,16384,256,32768
81418350000000.0,30000,32,16384,256,65536
163684090000000.0,30000,32,16384,512,1024
164980680000000.0,30000,32,16384,512,2048
166173830000000.0,30000,32,16384,512,4096
166908080000000.0,30000,32,16384,512,8192
167164440000000.0,30000,32,16384,512,16384
167334980000000.0,30000,32,16384,512,32768
167335100000000.0,30000,32,16384,512,65536
35623090000000.0,40000,32,16384,256,512
36680153000000.0,40000,32,16384,256,1024
37402177000000.0,40000,32,16384,256,2048
37826610000000.0,40000,32,16384,256,4096
37930860000000.0,40000,32,16384,256,8192
37944253000000.0,40000,32,16384,256,16384
38030220000000.0,40000,32,16384,256,32768
38029138000000.0,40000,32,16384,256,65536
73679730000000.0,40000,32,16384,512,1024
74783210000000.0,40000,32,16384,512,2048
75518100000000.0,40000,32,16384,512,4096
75695740000000.0,40000,32,16384,512,8192
75662290000000.0,40000,32,16384,512,16384
75769880000000.0,40000,32,16384,512,32768
75772530000000.0,40000,32,16384,512,65536
32172835000000.0,60000,32,16384,256,512
32855197000000.0,60000,32,16384,256,1024
33100598000000.0,60000,32,16384,256,2048
33231900000000.0,60000,32,16384,256,4096
33289500000000.0,60000,32,16384,256,8192
33344927000000.0,60000,32,16384,256,16384
33368270000000.0,60000,32,16384,256,32768
33372768000000.0,60000,32,16384,256,65536
68351624000000.0,60000,32,16384,512,1024
68754227000000.0,60000,32,16384,512,2048
68923590000000.0,60000,32,16384,512,4096
68970556000000.0,60000,32,16384,512,8192
69108385000000.0,60000,32,16384,512,16384
69102698000000.0,60000,32,16384,512,32768
69126700000000.0,60000,32,16384,512,65536
30938319000000.0,80000,32,16384,256,512
31764733000000.0,80000,32,16384,256,1024
