frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
8.50239e+16,0,32,16384,128,256
9.009935e+16,0,32,16384,128,512
9.25815e+16,0,32,16384,128,1024
9.4210065e+16,0,32,16384,128,2048
9.489134e+16,0,32,16384,128,4096
9.517456e+16,0,32,16384,128,8192
9.514982e+16,0,32,16384,128,16384
9.524147e+16,0,32,16384,128,32768
9.53478e+16,0,32,16384,128,65536
1.7928216e+17,0,32,16384,256,512
1.8469854e+17,0,32,16384,256,1024
1.8696511e+17,0,32,16384,256,2048
1.8877537e+17,0,32,16384,256,4096
1.89254e+17,0,32,16384,256,8192
1.897967e+17,0,32,16384,256,16384
1.8996341e+17,0,32,16384,256,32768
1.899837e+17,0,32,16384,256,65536
3.7018986e+17,0,32,16384,512,1024
3.751539e+17,0,32,16384,512,2048
3.773774e+17,0,32,16384,512,4096
3.7891253e+17,0,32,16384,512,8192
3.7962488e+17,0,32,16384,512,16384
3.8017803e+17,0,32,16384,512,32768
3.8034265e+17,0,32,16384,512,65536
98397790000000.0,10000,32,16384,128,256
104576670000000.0,10000,32,16384,128,512
106861764000000.0,10000,32,16384,128,1024
109001370000000.0,10000,32,16384,128,2048
109206620000000.0,10000,32,16384,128,4096
109583130000000.0,10000,32,16384,128,8192
109829630000000.0,10000,32,16384,128,16384
109958640000000.0,10000,32,16384,128,32768
109970430000000.0,10000,32,16384,128,65536
207256950000000.0,10000,32,16384,256,512
212577300000000.0,10000,32,16384,256,1024
215451040000000.0,10000,32,16384,256,2048
217683300000000.0,10000,32,16384,256,4096
218136520000000.0,10000,32,16384,256,8192
218461410000000.0,10000,32,16384,256,16384
218582030000000.0,10000,32,16384,256,32768
218590280000000.0,10000,32,16384,256,65536
424358740000000.0,10000,32,16384,512,1024
429525080000000.0,10000,32,16384,512,2048
432664940000000.0,10000,32,16384,512,4096
433784080000000.0,10000,32,16384,512,8192
434666530000000.0,10000,32,16384,512,16384
435001130000000.0,10000,32,16384,512,32768
434925470000000.0,10000,32,16384,512,65536
72650706000000.0,20000,32,16384,128,256
76539924000000.0,20000,32,16384,128,512
78450094000000.0,20000,32,16384,128,1024
79120596000000.0,20000,32,16384,128,2048
79587460000000.0,20000,32,16384,128,4096
79933420000000.0,20000,32,16384,128,8192
80118250000000.0,20000,32,16384,128,16384
80121365000000.0,20000,32,16384,128,32768
