frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
269109380000000.0,10000,32,16384,128,256
281517100000000.0,10000,32,16384,128,512
288123220000000.0,10000,32,16384,128,1024
290885500000000.0,10000,32,16384,128,2048
291955740000000.0,10000,32,16384,128,4096
292781800000000.0,10000,32,16384,128,8192
293358280000000.0,10000,32,16384,128,16384
293829200000000.0,10000,32,16384,128,32768
293760030000000.0,10000,32,16384,128,65536
566930650000000.0,10000,32,16384,256,512
581057400000000.0,10000,32,16384,256,1024
584899500000000.0,10000,32,16384,256,2048
588384500000000.0,10000,32,16384,256,4096
590042400000000.0,10000,32,16384,256,8192
590953140000000.0,10000,32,16384,256,16384
591629260000000.0,10000,32,16384,256,32768
591728100000000.0,10000,32,16384,256,65536
1112431600000000.0,10000,32,16384,512,1024
1124796500000000.0,10000,32,16384,512,2048
1130099400000000.0,10000,32,16384,512,4096
1133578600000000.0,10000,32,16384,512,8192
1135416600000000.0,10000,32,16384,512,16384
1136228000000000.0,10000,32,16384,512,32768
1136926300000000.0,10000,32,16384,512,65536
95895370000000.0,20000,32,16384,128,256
100894070000000.0,20000,32,16384,128,512
102324030000000.0,20000,32,16384,128,1024
103648770000000.0,20000,32,16384,128,2048
104445500000000.0,20000,32,16384,128,4096
105109380000000.0,20000,32,16384,128,8192
105170100000000.0,20000,32,16384,128,16384
105324900000000.0,20000,32,16384,128,32768
105357595000000.0,20000,32,16384,128,65536
201488190000000.0,20000,32,16384,256,512
205101000000000.0,20000,32,16384,256,1024
207262860000000.0,20000,32,16384,256,2048
208266700000000.0,20000,32,16384,256,4096
208937900000000.0,20000,32,16384,256,8192
209376270000000.0,20000,32,16384,256,16384
209414550000000.0,20000,32,16384,256,32768
209612860000000.0,20000,32,16384,256,65536
411953900000000.0,20000,32,16384,512,1024
415930940000000.0,20000,32,16384,512,2048
419025670000000.0,20000,32,16384,512,4096
420593870000000.0,20000,32,16384,512,8192
421313240000000.0,20000,32,16384,512,16384
421510900000000.0,20000,32,16384,512,32768
421557580000000.0,20000,32,16384,512,65536
58209453000000.0,40000,32,16384,128,256
61416606000000.0,40000,32,16384,128,512
62589690000000.0,40000,32,16384,128,1024
63321336000000.0,40000,32,16384,128,2048
63804700000000.0,40000,32,16384,128,4096
63868278000000.0,40000,32,16384,128,8192
63935150000000.0,40000,32,16384,128,16384
64016127000000.0,40000,32,16384,128,32768
64038306000000.0,40000,32,16384,128,65536
126873370000000.0,40000,32,16384,256,512
129307230000000.0,40000,32,16384,256,1024
130979910000000.0,40000,32,16384,256,2048
131584630000000.0,40000,32,16384,256,4096
131882700000000.0,40000,32,16384,256,8192
132066950000000.0,40000,32,16384,256,16384
132119390000000.0,40000,32,16384,256,32768
132173380000000.0,40000,32,16384,256,65536
248593140000000.0,40000,32,16384,512,1024
251075400000000.0,40000,32,16384,512,2048
252774340000000.0,40000,32,16384,512,4096
253289490000000.0,40000,32,16384,512,8192
253971350000000.0,40000,32,16384,512,16384
254272780000000.0,40000,32,16384,512,32768
254484040000000.0,40000,32,16384,512,65536
38179567000000.0,60000,32,16384,128,256
39589285000000.0,60000,32,16384,128,512
40207575000000.0,60000,32,16384,128,1024
40573290000000.0,60000,32,16384,128,2048
40724720000000.0,60000,32,16384,128,4096
40834200000000.0,60000,32,16384,128,8192
40902670000000.0,60000,32,16384,128,16384
40895408000000.0,60000,32,16384,128,32768
40914475000000.0,60000,32,16384,128,65536
83907460000000.0,60000,32,16384,256,512
85240020000000.0,60000,32,16384,256,1024
86146860000000.0,60000,32,16384,256,2048
86309260000000.0,60000,32,16384,256,4096
86437260000000.0,60000,32,16384,256,8192
86575400000000.0,60000,32,16384,256,16384
86633990000000.0,60000,32,16384,256,32768
86638480000000.0,60000,32,16384,256,65536
166791000000000.0,60000,32,16384,512,1024
168388590000000.0,60000,32,16384,512,2048
169249760000000.0,60000,32,16384,512,4096
169482160000000.0,60000,32,16384,512,8192
169655120000000.0,60000,32,16384,512,16384
169742040000000.0,60000,32,16384,512,32768
169780630000000.0,60000,32,16384,512,65536
29462654000000.0,80000,32,16384,128,256
31022719000000.0,80000,32,16384,128,512
31789020000000.0,80000,32,16384,128,1024
32096777000000.0,80000,32,16384,128,2048
32332235000000.0,80000,32,16384,128,4096
32476311000000.0,80000,32,16384,128,8192
32549360000000.0,80000,32,16384,128,16384
32547070000000.0,80000,32,16384,128,32768
32568817000000.0,80000,32,16384,128,65536
62582640000000.0,80000,32,16384,256,512
64109280000000.0,80000,32,16384,256,1024
64718570000000.0,80000,32,16384,256,2048
65353275000000.0,80000,32,16384,256,4096
65628182000000.0,80000,32,16384,256,8192
65719980000000.0,80000,32,16384,256,16384
65810420000000.0,80000,32,16384,256,32768
65856390000000.0,80000,32,16384,256,65536
128878080000000.0,80000,32,16384,512,1024
130104850000000.0,80000,32,16384,512,2048
130857370000000.0,80000,32,16384,512,4096
131249030000000.0,80000,32,16384,512,8192
131391580000000.0,80000,32,16384,512,16384
131620970000000.0,80000,32,16384,512,32768
131721194000000.0,80000,32,16384,512,65536
18925866000000.0,100000,32,16384,128,256
19876257000000.0,100000,32,16384,128,512
20332580000000.0,100000,32,16384,128,1024
20489343000000.0,100000,32,16384,128,2048
20543158000000.0,100000,32,16384,128,4096
20562565000000.0,100000,32,16384,128,8192
20585147000000.0,100000,32,16384,128,16384
20630311000000.0,100000,32,16384,128,32768
20634426000000.0,100000,32,16384,128,65536
38573720000000.0,100000,32,16384,256,512
39200796000000.0,100000,32,16384,256,1024
39593370000000.0,100000,32,16384,256,2048
39779150000000.0,100000,32,16384,256,4096
39762946000000.0,100000,32,16384,256,8192
39838780000000.0,100000,32,16384,256,16384
39847524000000.0,100000,32,16384,256,32768
39839870000000.0,100000,32,16384,256,65536
80498300000000.0,100000,32,16384,512,1024
81214430000000.0,100000,32,16384,512,2048
81712230000000.0,100000,32,16384,512,4096
81786370000000.0,100000,32,16384,512,8192
81905395000000.0,100000,32,16384,512,16384
81946575000000.0,100000,32,16384,512,32768
81958970000000.0,100000,32,16384,512,65536
15811614000000.0,110000,32,16384,128,256
16578974000000.0,110000,32,16384,128,512
17023464000000.0,110000,32,16384,128,1024
17200739000000.0,110000,32,16384,128,2048
17344216000000.0,110000,32,16384,128,4096
17428770000000.0,110000,32,16384,128,8192
17449753000000.0,110000,32,16384,128,16384
17462710000000.0,110000,32,16384,128,32768
17462000000000.0,110000,32,16384,128,65536
34292646000000.0,110000,32,16384,256,512
35089969000000.0,110000,32,16384,256,1024
35473990000000.0,110000,32,16384,256,2048
35615980000000.0,110000,32,16384,256,4096
35664980000000.0,110000,32,16384,256,8192
35688530000000.0,110000,32,16384,256,16384
35701488000000.0,110000,32,16384,256,32768
35710938000000.0,110000,32,16384,256,65536
68994803000000.0,110000,32,16384,512,1024
69978993000000.0,110000,32,16384,512,2048
70330490000000.0,110000,32,16384,512,4096
70629700000000.0,110000,32,16384,512,8192
70758980000000.0,110000,32,16384,512,16384
70779530000000.0,110000,32,16384,512,32768
70855930000000.0,110000,32,16384,512,65536
69096696000000.0,120000,32,16384,128,256
70066813000000.0,120000,32,16384,128,512
70683490000000.0,120000,32,16384,128,1024
70831275000000.0,120000,32,16384,128,2048
70917250000000.0,120000,32,16384,128,4096
70924970000000.0,120000,32,16384,128,8192
70956180000000.0,120000,32,16384,128,16384
70990100000000.0,120000,32,16384,128,32768
70993125000000.0,120000,32,16384,128,65536
166921970000000.0,120000,32,16384,256,512
167965690000000.0,120000,32,16384,256,1024
168533170000000.0,120000,32,16384,256,2048
168763780000000.0,120000,32,16384,256,4096
168763170000000.0,120000,32,16384,256,8192
168769100000000.0,120000,32,16384,256,16384
168819130000000.0,120000,32,16384,256,32768
168835330000000.0,120000,32,16384,256,65536
302223120000000.0,120000,32,16384,512,1024
302664000000000.0,120000,32,16384,512,2048
303413270000000.0,120000,32,16384,512,4096
303464770000000.0,120000,32,16384,512,8192
303482860000000.0,120000,32,16384,512,16384
303533060000000.0,120000,32,16384,512,32768
303526700000000.0,120000,32,16384,512,65536
24661952000000.0,130000,32,16384,128,256
25571245000000.0,130000,32,16384,128,512
25900796000000.0,130000,32,16384,128,1024
26034175000000.0,130000,32,16384,128,2048
26132850000000.0,130000,32,16384,128,4096
26243332000000.0,130000,32,16384,128,8192
26278065000000.0,130000,32,16384,128,16384
26276654000000.0,130000,32,16384,128,32768
26305236000000.0,130000,32,16384,128,65536
54563248000000.0,130000,32,16384,256,512
55317224000000.0,130000,32,16384,256,1024
55768280000000.0,130000,32,16384,256,2048
55885603000000.0,130000,32,16384,256,4096
55947930000000.0,130000,32,16384,256,8192
55985750000000.0,130000,32,16384,256,16384
55977483000000.0,130000,32,16384,256,32768
56011250000000.0,130000,32,16384,256,65536
108105810000000.0,130000,32,16384,512,1024
108950710000000.0,130000,32,16384,512,2048
109305366000000.0,130000,32,16384,512,4096
109415830000000.0,130000,32,16384,512,8192
109462640000000.0,130000,32,16384,512,16384
109462770000000.0,130000,32,16384,512,32768
109509290000000.0,130000,32,16384,512,65536
14279423000000.0,140000,32,16384,128,256
14944147000000.0,140000,32,16384,128,512
15277939000000.0,140000,32,16384,128,1024
15458608000000.0,140000,32,16384,128,2048
15595303000000.0,140000,32,16384,128,4096
15624697000000.0,140000,32,16384,128,8192
15655895000000.0,140000,32,16384,128,16384
15657508000000.0,140000,32,16384,128,32768
15663185000000.0,140000,32,16384,128,65536
32914994000000.0,140000,32,16384,256,512
33550066000000.0,140000,32,16384,256,1024
34024616000000.0,140000,32,16384,256,2048
34336085000000.0,140000,32,16384,256,4096
34332635000000.0,140000,32,16384,256,8192
34400849000000.0,140000,32,16384,256,16384
34412446000000.0,140000,32,16384,256,32768
34413010000000.0,140000,32,16384,256,65536
66600640000000.0,140000,32,16384,512,1024
67597295000000.0,140000,32,16384,512,2048
68108200000000.0,140000,32,16384,512,4096
