frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
145731.61,0,32,16384,128,256
138047.78,0,32,16384,128,512
134794.28,0,32,16384,128,1024
133238.86,0,32,16384,128,2048
132379.08,0,32,16384,128,4096
131605.25,0,32,16384,128,8192
131416.33,0,32,16384,128,16384
131117.5,0,32,16384,128,32768
131019.75,0,32,16384,128,65536
289695.44,0,32,16384,256,512
267735.5,0,32,16384,256,1024
259292.12,0,32,16384,256,2048
254066.38,0,32,16384,256,4096
252134.06,0,32,16384,256,8192
250351.75,0,32,16384,256,16384
249597.03,0,32,16384,256,32768
249218.38,0,32,16384,256,65536
607143.4,0,32,16384,512,1024
566671.25,0,32,16384,512,2048
545560.7,0,32,16384,512,4096
534203.5,0,32,16384,512,8192
529233.25,0,32,16384,512,16384
526143.5,0,32,16384,512,32768
524984.7,0,32,16384,512,65536
17881.422,20000,32,16384,128,256
16521.152,20000,32,16384,128,512
15464.91,20000,32,16384,128,1024
14787.945,20000,32,16384,128,2048
14671.367,20000,32,16384,128,4096
14683.289,20000,32,16384,128,8192
14576.91,20000,32,16384,128,16384
14566.91,20000,32,16384,128,32768
14532.145,20000,32,16384,128,65536
37967.7,20000,32,16384,256,512
34141.445,20000,32,16384,256,1024
31904.688,20000,32,16384,256,2048
30926.172,20000,32,16384,256,4096
30639.96,20000,32,16384,256,8192
30386.727,20000,32,16384,256,16384
30304.898,20000,32,16384,256,32768
30197.695,20000,32,16384,256,65536
78266.89,20000,32,16384,512,1024
69406.34,20000,32,16384,512,2048
65509.906,20000,32,16384,512,4096
63718.5,20000,32,16384,512,8192
62711.625,20000,32,16384,512,16384
62375.453,20000,32,16384,512,32768
62035.47,20000,32,16384,512,65536
20122.047,40000,32,16384,128,256
18732.855,40000,32,16384,128,512
17137.867,40000,32,16384,128,1024
16529.047,40000,32,16384,128,2048
16348.781,40000,32,16384,128,4096
16225.922,40000,32,16384,128,8192
16087.453,40000,32,16384,128,16384
16056.922,40000,32,16384,128,32768
16012.074,40000,32,16384,128,65536
48773.9,40000,32,16384,256,512
44135.156,40000,32,16384,256,1024
42067.086,40000,32,16384,256,2048
41120.258,40000,32,16384,256,4096
40646.35,40000,32,16384,256,8192
40388.836,40000,32,16384,256,16384
40282.68,40000,32,16384,256,32768
40182.133,40000,32,16384,256,65536
105036.94,40000,32,16384,512,1024
97108.81,40000,32,16384,512,2048
93863.266,40000,32,16384,512,4096
92034.0,40000,32,16384,512,8192
90931.95,40000,32,16384,512,16384
90594.59,40000,32,16384,512,32768
90284.625,40000,32,16384,512,65536
26587.863,60000,32,16384,128,256
26527.625,60000,32,16384,128,512
25702.39,60000,32,16384,128,1024
24987.742,60000,32,16384,128,2048
25036.613,60000,32,16384,128,4096
25225.438,60000,32,16384,128,8192
25025.758,60000,32,16384,128,16384
25115.406,60000,32,16384,128,32768
25172.945,60000,32,16384,128,65536
66881.16,60000,32,16384,256,512
64924.133,60000,32,16384,256,1024
63407.203,60000,32,16384,256,2048
63351.953,60000,32,16384,256,4096
63604.094,60000,32,16384,256,8192
63516.477,60000,32,16384,256,16384
63685.93,60000,32,16384,256,32768
63863.523,60000,32,16384,256,65536
151490.6,60000,32,16384,512,1024
146401.84,60000,32,16384,512,2048
145675.73,60000,32,16384,512,4096
145855.33,60000,32,16384,512,8192
145160.61,60000,32,16384,512,16384
145315.38,60000,32,16384,512,32768
145386.81,60000,32,16384,512,65536
29941.004,80000,32,16384,128,256
29133.41,80000,32,16384,128,512
28494.758,80000,32,16384,128,1024
28392.586,80000,32,16384,128,2048
28432.98,80000,32,16384,128,4096
28457.703,80000,32,16384,128,8192
28520.945,80000,32,16384,128,16384
28530.71,80000,32,16384,128,32768
28407.117,80000,32,16384,128,65536
73377.03,80000,32,16384,256,512
72068.336,80000,32,16384,256,1024
71523.734,80000,32,16384,256,2048
71178.97,80000,32,16384,256,4096
71155.01,80000,32,16384,256,8192
71542.16,80000,32,16384,256,16384
71536.05,80000,32,16384,256,32768
71411.17,80000,32,16384,256,65536
169491.52,80000,32,16384,512,1024
167157.03,80000,32,16384,512,2048
166182.94,80000,32,16384,512,4096
165753.89,80000,32,16384,512,8192
165991.62,80000,32,16384,512,16384
166015.34,80000,32,16384,512,32768
165584.0,80000,32,16384,512,65536
30995.465,100000,32,16384,128,256
31957.234,100000,32,16384,128,512
30570.562,100000,32,16384,128,1024
30395.07,100000,32,16384,128,2048
