frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
145731.61,0,32,16384,128,256
138047.78,0,32,16384,128,512
134794.28,0,32,16384,128,1024
133238.86,0,32,16384,128,2048
132379.08,0,32,16384,128,4096
131605.25,0,32,16384,128,8192
131416.33,0,32,16384,128,16384
131117.5,0,32,16384,128,32768
131019.75,0,32,16384,128,65536
289695.44,0,32,16384,256,512
267735.5,0,32,16384,256,1024
259292.12,0,32,16384,256,2048
254066.38,0,32,16384,256,4096
252134.06,0,32,16384,256,8192
250351.75,0,32,16384,256,16384
249597.03,0,32,16384,256,32768
249218.38,0,32,16384,256,65536
607143.4,0,32,16384,512,1024
566671.25,0,32,16384,512,2048
545560.7,0,32,16384,512,4096
534203.5,0,32,16384,512,8192
529233.25,0,32,16384,512,16384
526143.5,0,32,16384,512,32768
524984.7,0,32,16384,512,65536
10690.676,5000,32,16384,128,256
6057.176,5000,32,16384,128,512
3647.711,5000,32,16384,128,1024
2362.8516,5000,32,16384,128,2048
1783.7969,5000,32,16384,128,4096
1511.4922,5000,32,16384,128,8192
1365.5703,5000,32,16384,128,16384
1288.4141,5000,32,16384,128,32768
1246.0781,5000,32,16384,128,65536
20345.781,5000,32,16384,256,512
11510.039,5000,32,16384,256,1024
6908.2188,5000,32,16384,256,2048
4654.5625,5000,32,16384,256,4096
3548.6562,5000,32,16384,256,8192
3000.4688,5000,32,16384,256,16384
2732.4062,5000,32,16384,256,32768
2582.5781,5000,32,16384,256,65536
40366.156,5000,32,16384,512,1024
22563.031,5000,32,16384,512,2048
14001.094,5000,32,16384,512,4096
9606.031,5000,32,16384,512,8192
7407.9375,5000,32,16384,512,16384
6329.9688,5000,32,16384,512,32768
5746.7812,5000,32,16384,512,65536
11096.961,10000,32,16384,128,256
7141.3594,10000,32,16384,128,512
5139.59,10000,32,16384,128,1024
4026.0,10000,32,16384,128,2048
3535.375,10000,32,16384,128,4096
3273.0,10000,32,16384,128,8192
3146.2188,10000,32,16384,128,16384
3092.75,10000,32,16384,128,32768
3043.3867,10000,32,16384,128,65536
21906.625,10000,32,16384,256,512
13946.898,10000,32,16384,256,1024
9936.375,10000,32,16384,256,2048
7954.3516,10000,32,16384,256,4096
7026.9375,10000,32,16384,256,8192
6518.1875,10000,32,16384,256,16384
6309.9688,10000,32,16384,256,32768
6168.2266,10000,32,16384,256,65536
43732.67,10000,32,16384,512,1024
28052.828,10000,32,16384,512,2048
20312.344,10000,32,16384,512,4096
16504.5,10000,32,16384,512,8192
14595.281,10000,32,16384,512,16384
13698.4375,10000,32,16384,512,32768
13181.547,10000,32,16384,512,65536
13374.301,20000,32,16384,128,256
10758.488,20000,32,16384,128,512
9167.57,20000,32,16384,128,1024
8337.0,20000,32,16384,128,2048
7929.336,20000,32,16384,128,4096
7779.7305,20000,32,16384,128,8192
7723.672,20000,32,16384,128,16384
7674.2227,20000,32,16384,128,32768
7633.289,20000,32,16384,128,65536
27428.422,20000,32,16384,256,512
21433.258,20000,32,16384,256,1024
18337.516,20000,32,16384,256,2048
16786.773,20000,32,16384,256,4096
16079.086,20000,32,16384,256,8192
15721.609,20000,32,16384,256,16384
15555.492,20000,32,16384,256,32768
15468.602,20000,32,16384,256,65536
56289.75,20000,32,16384,512,1024
44256.297,20000,32,16384,512,2048
38195.656,20000,32,16384,512,4096
35367.0,20000,32,16384,512,8192
34001.734,20000,32,16384,512,16384
33312.625,20000,32,16384,512,32768
32899.75,20000,32,16384,512,65536
20006.64,40000,32,16384,128,256
19074.86,40000,32,16384,128,512
18313.453,40000,32,16384,128,1024
17643.137,40000,32,16384,128,2048
17536.105,40000,32,16384,128,4096
17461.465,40000,32,16384,128,8192
17409.266,40000,32,16384,128,16384
17381.285,40000,32,16384,128,32768
17371.996,40000,32,16384,128,65536
44226.223,40000,32,16384,256,512
41327.72,40000,32,16384,256,1024
39371.094,40000,32,16384,256,2048
38746.016,40000,32,16384,256,4096
38390.79,40000,32,16384,256,8192
38195.367,40000,32,16384,256,16384
38146.297,40000,32,16384,256,32768
38123.85,40000,32,16384,256,65536
96738.516,40000,32,16384,512,1024
89384.94,40000,32,16384,512,2048
86347.52,40000,32,16384,512,4096
84831.49,40000,32,16384,512,8192
84129.1,40000,32,16384,512,16384
83838.82,40000,32,16384,512,32768
83571.2,40000,32,16384,512,65536
23597.674,60000,32,16384,128,256
23332.502,60000,32,16384,128,512
23053.879,60000,32,16384,128,1024
