frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
239798.44,0,32,16384,128,256
231398.69,0,32,16384,128,512
226281.94,0,32,16384,128,1024
224217.94,0,32,16384,128,2048
222907.9,0,32,16384,128,4096
222288.72,0,32,16384,128,8192
221814.7,0,32,16384,128,16384
221449.03,0,32,16384,128,32768
221406.6,0,32,16384,128,65536
447124.0,0,32,16384,256,512
430719.5,0,32,16384,256,1024
422573.75,0,32,16384,256,2048
418475.06,0,32,16384,256,4096
415700.75,0,32,16384,256,8192
414104.78,0,32,16384,256,16384
413370.25,0,32,16384,256,32768
413237.0,0,32,16384,256,65536
916491.25,0,32,16384,512,1024
882745.4,0,32,16384,512,2048
863518.7,0,32,16384,512,4096
853391.0,0,32,16384,512,8192
848259.7,0,32,16384,512,16384
845788.4,0,32,16384,512,32768
844415.0,0,32,16384,512,65536
14520.549,10000,32,16384,128,256
13148.027,10000,32,16384,128,512
12212.725,10000,32,16384,128,1024
11917.516,10000,32,16384,128,2048
11714.742,10000,32,16384,128,4096
11621.945,10000,32,16384,128,8192
11569.539,10000,32,16384,128,16384
11559.969,10000,32,16384,128,32768
11528.848,10000,32,16384,128,65536
32940.812,10000,32,16384,256,512
30111.922,10000,32,16384,256,1024
28759.656,10000,32,16384,256,2048
27929.89,10000,32,16384,256,4096
27683.578,10000,32,16384,256,8192
27465.352,10000,32,16384,256,16384
27362.383,10000,32,16384,256,32768
27272.508,10000,32,16384,256,65536
73671.31,10000,32,16384,512,1024
68465.56,10000,32,16384,512,2048
65773.51,10000,32,16384,512,4096
64542.594,10000,32,16384,512,8192
63748.227,10000,32,16384,512,16384
63373.0,10000,32,16384,512,32768
63091.11,10000,32,16384,512,65536
31481.441,20000,32,16384,128,256
32496.926,20000,32,16384,128,512
33174.406,20000,32,16384,128,1024
33591.17,20000,32,16384,128,2048
33527.53,20000,32,16384,128,4096
33559.414,20000,32,16384,128,8192
33583.023,20000,32,16384,128,16384
33467.664,20000,32,16384,128,32768
33440.234,20000,32,16384,128,65536
76097.31,20000,32,16384,256,512
77671.375,20000,32,16384,256,1024
78772.19,20000,32,16384,256,2048
78715.51,20000,32,16384,256,4096
79030.375,20000,32,16384,256,8192
78951.28,20000,32,16384,256,16384
78682.26,20000,32,16384,256,32768
78709.86,20000,32,16384,256,65536
178021.81,20000,32,16384,512,1024
180085.62,20000,32,16384,512,2048
180094.0,20000,32,16384,512,4096
180432.66,20000,32,16384,512,8192
180222.53,20000,32,16384,512,16384
179603.1,20000,32,16384,512,32768
179610.14,20000,32,16384,512,65536
