frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
26941.951,20000,32,16384,128,256
27658.953,20000,32,16384,128,512
27661.908,20000,32,16384,128,1024
27610.504,20000,32,16384,128,2048
27666.121,20000,32,16384,128,4096
27751.566,20000,32,16384,128,8192
27855.371,20000,32,16384,128,16384
27882.246,20000,32,16384,128,32768
27872.602,20000,32,16384,128,65536
28729.955,40000,32,16384,128,256
29869.703,40000,32,16384,128,512
30490.873,40000,32,16384,128,1024
30629.828,40000,32,16384,128,2048
30702.436,40000,32,16384,128,4096
30783.027,40000,32,16384,128,8192
30871.598,40000,32,16384,128,16384
30937.188,40000,32,16384,128,32768
30928.184,40000,32,16384,128,65536
