frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
784152.0,0,32,16384,512,1024,-60.0,60.0
748254.4,0,32,16384,512,2048,-60.0,60.0
728884.7,0,32,16384,512,4096,-60.0,60.0
719754.5,0,32,16384,512,8192,-60.0,60.0
714188.7,0,32,16384,512,16384,-60.0,60.0
712167.2,0,32,16384,512,32768,-60.0,60.0
711154.9,0,32,16384,512,65536,-60.0,60.0
1605519.2,0,32,16384,1024,2048,-60.0,60.0
1538052.8,0,32,16384,1024,4096,-60.0,60.0
1502823.8,0,32,16384,1024,8192,-60.0,60.0
1486944.6,0,32,16384,1024,16384,-60.0,60.0
1478426.8,0,32,16384,1024,32768,-60.0,60.0
1474081.2,0,32,16384,1024,65536,-60.0,60.0
3253266.0,0,32,16384,2048,4096,-60.0,60.0
3140224.8,0,32,16384,2048,8192,-60.0,60.0
3082625.2,0,32,16384,2048,16384,-60.0,60.0
3055011.2,0,32,16384,2048,32768,-60.0,60.0
3039763.2,0,32,16384,2048,65536,-60.0,60.0
6790301.5,0,32,16384,4096,8192,-60.0,60.0
6609865.0,0,32,16384,4096,16384,-60.0,60.0
6520611.5,0,32,16384,4096,32768,-60.0,60.0
6475328.0,0,32,16384,4096,65536,-60.0,60.0
47879.188,5000,32,16384,512,1024,-60.0,60.0
25542.625,5000,32,16384,512,2048,-60.0,60.0
14046.3125,5000,32,16384,512,4096,-60.0,60.0
8447.125,5000,32,16384,512,8192,-60.0,60.0
5618.9688,5000,32,16384,512,16384,-60.0,60.0
4192.0938,5000,32,16384,512,32768,-60.0,60.0
3498.875,5000,32,16384,512,65536,-60.0,60.0
92085.375,5000,32,16384,1024,2048,-60.0,60.0
48950.25,5000,32,16384,1024,4096,-60.0,60.0
27553.312,5000,32,16384,1024,8192,-60.0,60.0
16790.062,5000,32,16384,1024,16384,-60.0,60.0
11417.6875,5000,32,16384,1024,32768,-60.0,60.0
8752.125,5000,32,16384,1024,65536,-60.0,60.0
170476.88,5000,32,16384,2048,4096,-60.0,60.0
92224.5,5000,32,16384,2048,8192,-60.0,60.0
52808.0,5000,32,16384,2048,16384,-60.0,60.0
33128.5,5000,32,16384,2048,32768,-60.0,60.0
23343.0,5000,32,16384,2048,65536,-60.0,60.0
296696.5,5000,32,16384,4096,8192,-60.0,60.0
163958.25,5000,32,16384,4096,16384,-60.0,60.0
97330.75,5000,32,16384,4096,32768,-60.0,60.0
63951.0,5000,32,16384,4096,65536,-60.0,60.0
39731.5,10000,32,16384,512,1024,-59.99605642842195,59.99605642842195
21073.469,10000,32,16384,512,2048,-59.99605642842195,59.99605642842195
11590.281,10000,32,16384,512,4096,-59.99605642842195,59.99605642842195
6751.1875,10000,32,16384,512,8192,-59.99605642842195,59.99605642842195
4320.4062,10000,32,16384,512,16384,-59.99605642842195,59.99605642842195
3138.0625,10000,32,16384,512,32768,-59.99605642842195,59.99605642842195
2531.5938,10000,32,16384,512,65536,-59.99605642842195,59.99605642842195
76540.44,10000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
40399.625,10000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
22170.125,10000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
13100.4375,10000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
8650.8125,10000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
6344.1875,10000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
141141.62,10000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
75106.25,10000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
41943.25,10000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
25426.375,10000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
17035.375,10000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
243494.75,10000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
131682.5,10000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
75447.25,10000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
47109.75,10000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
51548.344,20000,32,16384,512,1024,-60.0,60.0
28193.594,20000,32,16384,512,2048,-60.0,60.0
16205.75,20000,32,16384,512,4096,-60.0,60.0
10274.219,20000,32,16384,512,8192,-60.0,60.0
7314.5938,20000,32,16384,512,16384,-60.0,60.0
5809.625,20000,32,16384,512,32768,-60.0,60.0
5076.5938,20000,32,16384,512,65536,-60.0,60.0
98015.875,20000,32,16384,1024,2048,-60.0,60.0
53465.5,20000,32,16384,1024,4096,-60.0,60.0
31393.938,20000,32,16384,1024,8192,-60.0,60.0
20112.438,20000,32,16384,1024,16384,-60.0,60.0
14413.9375,20000,32,16384,1024,32768,-60.0,60.0
11677.5,20000,32,16384,1024,65536,-60.0,60.0
181604.0,20000,32,16384,2048,4096,-60.0,60.0
100531.625,20000,32,16384,2048,8192,-60.0,60.0
59808.5,20000,32,16384,2048,16384,-60.0,60.0
39289.125,20000,32,16384,2048,32768,-60.0,60.0
29220.375,20000,32,16384,2048,65536,-60.0,60.0
316448.0,20000,32,16384,4096,8192,-60.0,60.0
179092.25,20000,32,16384,4096,16384,-60.0,60.0
109876.75,20000,32,16384,4096,32768,-60.0,60.0
75580.75,20000,32,16384,4096,65536,-60.0,60.0
41045.656,40000,32,16384,512,1024,-60.0,60.0
20892.188,40000,32,16384,512,2048,-60.0,60.0
10562.1875,40000,32,16384,512,4096,-60.0,60.0
5412.5625,40000,32,16384,512,8192,-60.0,60.0
2821.875,40000,32,16384,512,16384,-60.0,60.0
1517.2812,40000,32,16384,512,32768,-60.0,60.0
873.5,40000,32,16384,512,65536,-60.0,60.0
78588.69,40000,32,16384,1024,2048,-60.0,60.0
39814.25,40000,32,16384,1024,4096,-60.0,60.0
20210.0,40000,32,16384,1024,8192,-60.0,60.0
10406.25,40000,32,16384,1024,16384,-60.0,60.0
5514.3125,40000,32,16384,1024,32768,-60.0,60.0
3049.8125,40000,32,16384,1024,65536,-60.0,60.0
144029.5,40000,32,16384,2048,4096,-60.0,60.0
73098.0,40000,32,16384,2048,8192,-60.0,60.0
37436.25,40000,32,16384,2048,16384,-60.0,60.0
19539.0,40000,32,16384,2048,32768,-60.0,60.0
10537.25,40000,32,16384,2048,65536,-60.0,60.0
246355.25,40000,32,16384,4096,8192,-60.0,60.0
125821.25,40000,32,16384,4096,16384,-60.0,60.0
65039.5,40000,32,16384,4096,32768,-60.0,60.0
34597.5,40000,32,16384,4096,65536,-60.0,60.0
51275.75,60000,32,16384,512,1024,-60.0,60.0
27784.5,60000,32,16384,512,2048,-60.0,60.0
15625.3125,60000,32,16384,512,4096,-60.0,60.0
9683.031,60000,32,16384,512,8192,-60.0,60.0
6737.3125,60000,32,16384,512,16384,-60.0,60.0
5247.625,60000,32,16384,512,32768,-60.0,60.0
