Batch,Batch_Size,Train_Loss,Test_Loss,lr,grad_norm,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
1000,32,0.03219198063015938,,0.0002,0.9999999403953552,0.012519807554781437,0.019672172144055367,,
2000,32,0.05337376892566681,,0.0002,0.9999998211860657,0.015398148447275162,0.03797562047839165,,
3000,32,0.03405736759305,,0.0002,0.9999993443489075,0.014269111678004265,0.019788255915045738,,
4000,32,0.05037558823823929,,0.0002,0.9999999403953552,0.02265443094074726,0.027721159160137177,,
5000,32,0.020395178347826004,0.030890906043350697,0.0002,0.5960291624069214,0.010729472152888775,0.009665707126259804,0.011201738752424717,0.01968916757032275
6000,32,0.02768406830728054,,0.0002,0.9999995231628418,0.011263102293014526,0.016420966014266014,,
7000,32,0.041295744478702545,,0.0002,1.0000001192092896,0.0223647803068161,0.018930964171886444,,
8000,32,0.02218514494597912,,0.0002,0.8549910187721252,0.011523937806487083,0.010661207139492035,,
9000,32,0.02332330122590065,,0.0002,0.9999997019767761,0.008261146023869514,0.01506215613335371,,
10000,32,0.025217562913894653,0.022854501940310003,0.0002,0.9999993443489075,0.009532974101603031,0.015684589743614197,0.010211984999477864,0.012642516661435366
11000,32,0.02817796915769577,,0.0002,0.9999999403953552,0.008818529546260834,0.019359439611434937,,
12000,32,0.14705359935760498,,0.0002,0.9999998211860657,0.049921803176403046,0.09713178873062134,,
13000,32,0.019040923565626144,,0.0002,0.1306760311126709,0.009731885977089405,0.009309038519859314,,
14000,32,0.013479219749569893,,0.0002,0.5142872333526611,0.0070842839777469635,0.006394935306161642,,
15000,32,0.016932792961597443,0.023013870231807232,0.0002,0.9999991059303284,0.007666219957172871,0.009266572073101997,0.009726729849353433,0.013287140242755412
16000,32,0.01761428266763687,,0.0002,0.5564367771148682,0.006969508249312639,0.01064477488398552,,
17000,32,0.022589780390262604,,0.0002,0.9999992251396179,0.010449174791574478,0.012140605598688126,,
18000,32,0.015100248157978058,,0.0002,0.41664454340934753,0.007527901791036129,0.007572346832603216,,
19000,32,0.021390561014413834,,0.0002,0.563835859298706,0.008784918114542961,0.012605643831193447,,
20000,32,0.02800457552075386,0.021587519627064466,0.0002,0.9999998211860657,0.011206351220607758,0.016798224300146103,0.00968196764588356,0.011905552167445422
21000,32,0.020589282736182213,,0.0002,0.44945356249809265,0.00926988199353218,0.011319400742650032,,
22000,32,0.026035992428660393,,0.0002,0.9999998807907104,0.007087649777531624,0.01894834265112877,,
23000,32,0.022389821708202362,,0.0002,0.3860737979412079,0.012296791188418865,0.010093030519783497,,
24000,32,0.019798217341303825,,0.0002,0.4887492060661316,0.007006742525845766,0.012791475281119347,,
25000,32,0.024806398898363113,0.02541341884061694,0.0002,0.9999990463256836,0.011519210413098335,0.013287188485264778,0.010578729026019574,0.014834689674898982
26000,32,0.017586492002010345,,0.0002,0.09437410533428192,0.009676378220319748,0.007910113781690598,,
27000,32,0.018947135657072067,,0.0002,0.07623903453350067,0.010276058688759804,0.008671076968312263,,
28000,32,0.016823578625917435,,0.0002,0.021894706413149834,0.009663823992013931,0.007159753702580929,,
29000,32,0.02636825665831566,,0.0002,0.033548858016729355,0.013336756266653538,0.01303150039166212,,
30000,32,0.022644754499197006,0.020945702120661734,0.0002,0.3336925804615021,0.010217476636171341,0.012427277863025665,0.009600892383605241,0.011344809597358108
31000,32,0.02113143354654312,,0.0002,0.42459744215011597,0.009056689217686653,0.012074744328856468,,
32000,32,0.01880943775177002,,0.0002,0.208560511469841,0.00874106865376234,0.010068369098007679,,
33000,32,0.024584157392382622,,0.0002,0.7939594388008118,0.010119982063770294,0.014464175328612328,,
34000,32,0.019587721675634384,,0.0002,0.04832635447382927,0.010217356495559216,0.009370364248752594,,
35000,32,0.020400064066052437,0.025715158227831124,0.0002,0.16950614750385284,0.006681546568870544,0.013718517497181892,0.010787191148847342,0.014927967078983783
36000,32,0.02229774370789528,,0.0002,0.10700075328350067,0.010362258180975914,0.011935485526919365,,
37000,32,0.018122754991054535,,0.0002,0.024217108264565468,0.00847582146525383,0.009646933525800705,,
38000,32,0.020587848499417305,,0.0002,0.15503551065921783,0.007067644502967596,0.013520204462110996,,
39000,32,0.018147947266697884,,0.0002,0.011475155130028725,0.00807370524853468,0.010074242018163204,,
40000,32,0.021200716495513916,0.020781528390944003,0.0002,0.018413249403238297,0.008236278779804707,0.01296443771570921,0.008733099745586514,0.012048428878188133
41000,32,0.048451878130435944,,0.0002,0.9999995231628418,0.010699687525629997,0.0377521887421608,,
42000,32,0.016552167013287544,,0.0002,0.07405460625886917,0.007856704294681549,0.008695462718605995,,
43000,32,0.021087657660245895,,0.0002,0.14582660794258118,0.00975680910050869,0.011330847628414631,,
44000,32,0.02112928032875061,,0.0002,0.3239791691303253,0.010914459824562073,0.010214820504188538,,
45000,32,0.02523283287882805,0.033390038460493085,0.0002,0.15909899771213531,0.012589758262038231,0.012643075548112392,0.01482098950073123,0.018569048773497344
46000,32,0.022382579743862152,,0.0002,0.08917147666215897,0.010186506435275078,0.012196073308587074,,
47000,32,0.02122197300195694,,0.0002,0.02667197398841381,0.008275276981294155,0.012946696020662785,,
48000,32,0.025137487798929214,,0.0002,0.28236714005470276,0.010359742678701878,0.014777745120227337,,
49000,32,0.02480919659137726,,0.0002,0.018456073477864265,0.011837152764201164,0.01297204289585352,,
50000,32,0.020002083852887154,0.019462160766124725,0.0002,0.018132774159312248,0.009038859978318214,0.01096322387456894,0.008945257170125842,0.01051690336316824
51000,32,0.024906489998102188,,0.0002,0.1251453310251236,0.011436943896114826,0.013469546101987362,,
52000,32,0.019701823592185974,,0.0002,0.03523319587111473,0.010383130982518196,0.009318692609667778,,
53000,32,0.015352165326476097,,0.0002,0.0052224332466721535,0.008393395692110062,0.006958770100027323,,
54000,32,0.022763151675462723,,0.0002,0.023897645995020866,0.010421397164463997,0.012341753579676151,,
55000,32,0.014392798766493797,0.02096100840717554,0.0002,0.03103480488061905,0.007134648971259594,0.007258149329572916,0.008916566288098693,0.012044442445039749
56000,32,0.025022152811288834,,0.0002,0.014986101537942886,0.012707026675343513,0.01231512613594532,,
57000,32,0.02350749634206295,,0.0002,0.07146719098091125,0.009800294414162636,0.013707201927900314,,
58000,32,0.020154358819127083,,0.0002,0.36749252676963806,0.008795076049864292,0.01135928276926279,,
59000,32,0.02393905073404312,,0.0002,0.16334006190299988,0.009526323527097702,0.01441272720694542,,
60000,32,0.015980102121829987,0.020309815648943186,0.0002,0.011695538647472858,0.0075684236362576485,0.008411678485572338,0.00921970116905868,0.011090114805847406
61000,32,0.026613222435116768,,0.0002,0.4395343065261841,0.01033446379005909,0.016278758645057678,,
62000,32,0.022243507206439972,,0.0002,0.06773747503757477,0.0090035954490304,0.013239910826086998,,
63000,32,0.024313239380717278,,0.0002,0.21430234611034393,0.01069953665137291,0.013613702729344368,,
64000,32,0.01722830906510353,,0.0002,0.0178070068359375,0.0064895739778876305,0.0107387350872159,,
65000,32,0.018062960356473923,0.020318047516047953,0.0002,0.09346043318510056,0.007301050703972578,0.010761909186840057,0.008915581088513137,0.011402466334402561
66000,32,0.024141179397702217,,0.0002,0.18899880349636078,0.011105934157967567,0.01303524523973465,,
67000,32,0.02051464095711708,,0.0002,0.016022155061364174,0.009664686396718025,0.010849954560399055,,
68000,32,0.01835763268172741,,0.0002,0.025754548609256744,0.009463551454246044,0.008894081227481365,,
69000,32,0.014613852836191654,,0.0002,0.011508993804454803,0.006838301662355661,0.007775551173835993,,
70000,32,0.021759476512670517,0.020456302165985107,0.0002,0.44375163316726685,0.00692119263112545,0.014838283881545067,0.009269923763349652,0.011186378542333841
71000,32,0.021942172199487686,,0.0002,0.037141311913728714,0.009323172271251678,0.012618999928236008,,
72000,32,0.014365792274475098,,0.0002,0.1621810793876648,0.006906323134899139,0.007459468673914671,,
73000,32,0.021999822929501534,,0.0002,0.027257699519395828,0.010446857661008835,0.011552965268492699,,
74000,32,0.021416783332824707,,0.0002,0.0384519100189209,0.009604129940271378,0.011812652461230755,,
75000,32,0.01992090791463852,0.0231945788487792,0.0002,0.1363358050584793,0.008874600753188133,0.011046306230127811,0.01013830997981131,0.013056269101798534
76000,32,0.013942851684987545,,0.0002,0.07955101132392883,0.0061655230820178986,0.0077773286029696465,,
77000,32,0.022015519440174103,,0.0002,0.05427948758006096,0.00922813918441534,0.012787379324436188,,
78000,32,0.015227376483380795,,0.0002,0.007097871042788029,0.007388847880065441,0.007838528603315353,,
79000,32,0.019417569041252136,,0.0002,0.1699499785900116,0.008753590285778046,0.01066397875547409,,
80000,32,0.01774757169187069,0.020787146128714084,0.0002,0.016565710306167603,0.007850384339690208,0.009897187352180481,0.009429913107305765,0.011357233114540576
81000,32,0.021815519779920578,,0.0002,0.315121591091156,0.009846299886703491,0.011969219893217087,,
82000,32,0.021391212940216064,,0.0002,0.01533452793955803,0.010478422977030277,0.010912790894508362,,
83000,32,0.017907097935676575,,0.0002,0.2718694508075714,0.005105992779135704,0.012801104225218296,,
84000,32,0.023041658103466034,,0.0002,0.03067449852824211,0.010732469148933887,0.012309189885854721,,
85000,32,0.01956138387322426,0.018829796742647887,0.0002,0.18224407732486725,0.008029744029045105,0.011531638912856579,0.007998832734301686,0.010830963682383298
86000,32,0.01734618842601776,,0.0002,0.017527850344777107,0.00826378632336855,0.009082401171326637,,
87000,32,0.01926621049642563,,0.0002,0.2563464343547821,0.005896951071918011,0.013369260355830193,,
88000,32,0.0192627664655447,,0.0002,0.013748833909630775,0.008893094956874847,0.010369671508669853,,
89000,32,0.026584815233945847,,0.0002,0.669399082660675,0.010942565277218819,0.015642249956727028,,
90000,32,0.01974642649292946,0.02026223801076412,0.0002,0.052802924066782,0.008122480474412441,0.011623946949839592,0.008771978644654154,0.011490259412676096
91000,32,0.021907072514295578,,0.0002,0.07588246464729309,0.008079342544078827,0.013827729970216751,,
92000,32,0.01943410374224186,,0.0002,0.014862139709293842,0.008570350706577301,0.010863753035664558,,
93000,32,0.017860684543848038,,0.0002,0.24069271981716156,0.007141979411244392,0.010718705132603645,,
94000,32,0.020383521914482117,,0.0002,0.03911830484867096,0.008936883881688118,0.011446637101471424,,
95000,32,0.014575941488146782,0.02039703484624624,0.0002,0.018899274989962578,0.007021789904683828,0.007554152049124241,0.008941517863422632,0.011455516796559095
96000,32,0.019269177690148354,,0.0002,0.009679846465587616,0.00945095531642437,0.009818222373723984,,
97000,32,0.019112225621938705,,0.0002,0.025509685277938843,0.009989756159484386,0.009122470393776894,,
98000,32,0.014462314546108246,,0.0002,0.04841751605272293,0.007330761291086674,0.007131553720682859,,
99000,32,0.022369662299752235,,0.0002,0.025798223912715912,0.010778123512864113,0.011591538786888123,,
100000,32,0.015978291630744934,0.020012817252427338,0.0002,0.03771241754293442,0.006862180307507515,0.009116111323237419,0.008922308078035712,0.011090509500354529
101000,32,0.014621540904045105,,0.0002,0.009069082327187061,0.008009815588593483,0.006611724849790335,,
102000,32,0.017528008669614792,,0.0002,0.014730220660567284,0.008693739771842957,0.008834268897771835,,
103000,32,0.015693534165620804,,0.0002,0.10931247472763062,0.007905790582299232,0.007787743583321571,,
104000,32,0.024983197450637817,,0.0002,0.10845405608415604,0.011119830422103405,0.013863367959856987,,
105000,32,0.027823448181152344,0.018284648191183805,0.0002,0.5136895179748535,0.012483818456530571,0.015339628793299198,0.008537214947864413,0.009747433429583906
106000,32,0.027705863118171692,,0.0002,0.6457076072692871,0.01039193943142891,0.017313923686742783,,
107000,32,0.018763341009616852,,0.0002,0.015435761772096157,0.008555746637284756,0.010207594372332096,,
108000,32,0.020520931109786034,,0.0002,0.04340856149792671,0.009854048490524292,0.010666882619261742,,
109000,32,0.02432623878121376,,0.0002,0.6483385562896729,0.0085179777815938,0.015808261930942535,,
110000,32,0.022402074187994003,0.022564983740448952,0.0002,0.033710382878780365,0.010500635951757431,0.011901437304913998,0.009716814570128917,0.012848168890923262
111000,32,0.022165851667523384,,0.0002,0.08538907766342163,0.008603193797171116,0.013562657870352268,,
112000,32,0.015071120113134384,,0.0002,0.008215484209358692,0.00855970848351717,0.006511411629617214,,
113000,32,0.023847077041864395,,0.0002,0.08305444568395615,0.010643296875059605,0.01320378016680479,,
114000,32,0.019787993282079697,,0.0002,0.08268705010414124,0.008263328112661839,0.011524665169417858,,
115000,32,0.01657775044441223,0.023177841026335955,0.0002,0.04866158589720726,0.00825925637036562,0.008318495005369186,0.011622034478932619,0.011555806640535593
116000,32,0.01866559125483036,,0.0002,0.1885150969028473,0.00667964294552803,0.01198594830930233,,
117000,32,0.017018157988786697,,0.0002,0.01158841885626316,0.008598057553172112,0.008420100435614586,,
118000,32,0.019631844013929367,,0.0002,0.013639376498758793,0.010387929156422615,0.009243914857506752,,
119000,32,0.019484171643853188,,0.0002,0.2372533679008484,0.007734735496342182,0.011749436147511005,,
120000,32,0.017958426848053932,0.018177594430744647,0.0002,0.06951431185007095,0.006427537649869919,0.011530889198184013,0.008574351295828819,0.009603243321180344
121000,32,0.01850532926619053,,0.0002,0.03419254720211029,0.008410762995481491,0.010094566270709038,,
122000,32,0.024242937564849854,,0.0002,0.017251301556825638,0.010245142504572868,0.01399779412895441,,
123000,32,0.022658683359622955,,0.0002,0.03044828027486801,0.010448971763253212,0.012209711596369743,,
124000,32,0.022846268489956856,,0.0002,0.16626951098442078,0.009983362630009651,0.012862905859947205,,
125000,32,0.01767447218298912,0.021034354530274867,0.0002,0.02492964081466198,0.0077012693509459496,0.009973203763365746,0.010161863081157208,0.010872491449117661
126000,32,0.019937971606850624,,0.0002,0.02763725258409977,0.011188041418790817,0.008749930188059807,,
127000,32,0.01791064627468586,,0.0002,0.16347654163837433,0.006758959963917732,0.011151686310768127,,
128000,32,0.018171455711126328,,0.0002,0.02550509199500084,0.007358673959970474,0.010812781751155853,,
129000,32,0.016635306179523468,,0.0002,0.009641309268772602,0.008557542227208614,0.008077764883637428,,
130000,32,0.02198280580341816,0.01787332110106945,0.0002,0.029687611386179924,0.008836165070533752,0.013146640732884407,0.007459909934550524,0.01041341107338667
131000,32,0.021872833371162415,,0.0002,0.012093855068087578,0.011133170686662197,0.010739661753177643,,
132000,32,0.018967043608427048,,0.0002,0.040368854999542236,0.008356533944606781,0.010610510595142841,,
133000,32,0.05503508821129799,,0.0002,0.9999990463256836,0.017085757106542587,0.0379493311047554,,
134000,32,0.018350984901189804,,0.0002,0.007878817617893219,0.010395119898021221,0.007955864071846008,,
135000,32,0.020866572856903076,0.018220897298306227,0.0002,0.02617334946990013,0.009910564869642258,0.010956007987260818,0.008719511842355133,0.009501385409384966
136000,32,0.018388468772172928,,0.0002,0.05934601649641991,0.010065947659313679,0.008322522044181824,,
137000,32,0.017334526404738426,,0.0002,0.014944631606340408,0.007923146709799767,0.00941137969493866,,
138000,32,0.02080726996064186,,0.0002,0.0979178324341774,0.008986479602754116,0.011820790357887745,,
