batches,log_likelihood,neg_loglike,neg_log_likelihood
0,-52.25233272592276,,52.25233272592276
5000,-28.05908716039795,,28.05908716039795
10000,-19.49043163929448,,19.49043163929448
20000,-19.828798399473193,,19.828798399473193
40000,-16.372612708272854,,16.372612708272854
60000,-15.831758303951766,,15.831758303951766
80000,-14.352389997332875,,14.352389997332875
100000,-13.539073911487744,,13.539073911487744
110000,-13.488673295284329,,13.488673295284329
120000,-13.089828138791107,,13.089828138791107
130000,-12.694893696449746,,12.694893696449746
140000,-12.900651142520942,,12.900651142520942
150000,-12.79802981744218,,12.79802981744218
160000,-12.666148252128032,,12.666148252128032
170000,-12.67420371935968,,12.67420371935968
180000,-12.38363834580414,,12.38363834580414
190000,-12.330167153545842,,12.330167153545842
200000,-12.66124572681299,,12.66124572681299
210000,-12.665701039476138,,12.665701039476138
220000,-12.20209420377875,,12.20209420377875
230000,-12.306827495239524,,12.306827495239524
240000,-12.398366915803095,,12.398366915803095
250000,-12.567735807917515,,12.567735807917515
300000,-12.551124291276624,,12.551124291276624
400000,-12.242607034835586,,12.242607034835586
450000,-12.140012805273043,,12.140012805273043
500000,-12.209005749215896,,12.209005749215896
600000,-12.01101447877604,,12.01101447877604
700000,-12.18254920031078,,12.18254920031078
