frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
589206.2,0,32,16384,512,1024,-60.0,60.0
553809.3,0,32,16384,512,2048,-60.0,60.0
536094.75,0,32,16384,512,4096,-60.0,60.0
527371.06,0,32,16384,512,8192,-60.0,60.0
522601.38,0,32,16384,512,16384,-60.0,60.0
520660.7,0,32,16384,512,32768,-60.0,60.0
519972.12,0,32,16384,512,65536,-60.0,60.0
1118873.9,0,32,16384,1024,2048,-60.0,60.0
1052275.9,0,32,16384,1024,4096,-60.0,60.0
1018968.75,0,32,16384,1024,8192,-60.0,60.0
1002736.25,0,32,16384,1024,16384,-60.0,60.0
994761.25,0,32,16384,1024,32768,-60.0,60.0
991230.75,0,32,16384,1024,65536,-60.0,60.0
2361070.5,0,32,16384,2048,4096,-60.0,60.0
2247965.5,0,32,16384,2048,8192,-60.0,60.0
2191876.5,0,32,16384,2048,16384,-60.0,60.0
2163702.0,0,32,16384,2048,32768,-60.0,60.0
2150556.0,0,32,16384,2048,65536,-60.0,60.0
5026261.5,0,32,16384,4096,8192,-60.0,60.0
4849156.5,0,32,16384,4096,16384,-60.0,60.0
4762505.5,0,32,16384,4096,32768,-60.0,60.0
4719352.5,0,32,16384,4096,65536,-60.0,60.0
40375.656,5000,32,16384,512,1024,-60.0,60.0
20950.031,5000,32,16384,512,2048,-60.0,60.0
11002.219,5000,32,16384,512,4096,-60.0,60.0
5998.1562,5000,32,16384,512,8192,-60.0,60.0
3491.625,5000,32,16384,512,16384,-60.0,60.0
2253.75,5000,32,16384,512,32768,-60.0,60.0
1621.4062,5000,32,16384,512,65536,-60.0,60.0
77346.44,5000,32,16384,1024,2048,-60.0,60.0
40241.062,5000,32,16384,1024,4096,-60.0,60.0
21373.25,5000,32,16384,1024,8192,-60.0,60.0
11893.1875,5000,32,16384,1024,16384,-60.0,60.0
7165.625,5000,32,16384,1024,32768,-60.0,60.0
4749.4375,5000,32,16384,1024,65536,-60.0,60.0
143890.75,5000,32,16384,2048,4096,-60.0,60.0
74918.0,5000,32,16384,2048,8192,-60.0,60.0
40232.125,5000,32,16384,2048,16384,-60.0,60.0
22957.5,5000,32,16384,2048,32768,-60.0,60.0
14172.625,5000,32,16384,2048,65536,-60.0,60.0
248457.75,5000,32,16384,4096,8192,-60.0,60.0
131181.0,5000,32,16384,4096,16384,-60.0,60.0
72350.0,5000,32,16384,4096,32768,-60.0,60.0
42535.75,5000,32,16384,4096,65536,-60.0,60.0
48329.906,10000,32,16384,512,1024,-60.0,60.0
25570.125,10000,32,16384,512,2048,-60.0,60.0
13975.219,10000,32,16384,512,4096,-60.0,60.0
8224.844,10000,32,16384,512,8192,-60.0,60.0
5322.75,10000,32,16384,512,16384,-60.0,60.0
3846.1562,10000,32,16384,512,32768,-60.0,60.0
3133.9062,10000,32,16384,512,65536,-60.0,60.0
92394.31,10000,32,16384,1024,2048,-60.0,60.0
48798.438,10000,32,16384,1024,4096,-60.0,60.0
27054.312,10000,32,16384,1024,8192,-60.0,60.0
16080.0625,10000,32,16384,1024,16384,-60.0,60.0
10572.8125,10000,32,16384,1024,32768,-60.0,60.0
7852.875,10000,32,16384,1024,65536,-60.0,60.0
169579.38,10000,32,16384,2048,4096,-60.0,60.0
90526.0,10000,32,16384,2048,8192,-60.0,60.0
50591.25,10000,32,16384,2048,16384,-60.0,60.0
30609.875,10000,32,16384,2048,32768,-60.0,60.0
20655.0,10000,32,16384,2048,65536,-60.0,60.0
292828.0,10000,32,16384,4096,8192,-60.0,60.0
158196.75,10000,32,16384,4096,16384,-60.0,60.0
90771.5,10000,32,16384,4096,32768,-60.0,60.0
56999.0,10000,32,16384,4096,65536,-60.0,60.0
40226.094,20000,32,16384,512,1024,-59.99605642842195,59.99605642842195
20606.562,20000,32,16384,512,2048,-59.99605642842195,59.99605642842195
10747.8125,20000,32,16384,512,4096,-59.99605642842195,59.99605642842195
5789.375,20000,32,16384,512,8192,-59.99605642842195,59.99605642842195
3306.0,20000,32,16384,512,16384,-59.99605642842195,59.99605642842195
2083.875,20000,32,16384,512,32768,-59.99605642842195,59.99605642842195
1453.2812,20000,32,16384,512,65536,-59.99605642842195,59.99605642842195
76345.94,20000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
39452.312,20000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
20694.562,20000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
11281.9375,20000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
6582.5625,20000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
4212.0625,20000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
141211.0,20000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
72983.375,20000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
