Batch,Batch_Size,Train_Loss,Test_Loss,lr,grad_norm,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
1000,32,0.025247255340218544,,0.0002,0.8011943697929382,0.011757122352719307,0.013490132987499237,,
2000,32,0.11156835407018661,,0.0002,0.9999999403953552,0.029904132708907127,0.08166421949863434,,
3000,32,0.0409562885761261,,0.0002,0.999999463558197,0.018277566879987717,0.02267872355878353,,
4000,32,0.017672263085842133,,0.0002,0.21143126487731934,0.008450877852737904,0.009221384301781654,,
5000,32,0.01708133891224861,0.023752461653202772,0.0002,0.11036445200443268,0.008910708129405975,0.008170629851520061,0.010900185629725456,0.012852275930345058
6000,32,0.01852712407708168,,0.0002,0.10593905299901962,0.00788670964539051,0.01064041443169117,,
7000,32,0.01927974261343479,,0.0002,0.22674362361431122,0.009153112769126892,0.0101266298443079,,
8000,32,0.016148969531059265,,0.0002,0.06871949136257172,0.00757816806435585,0.00857080239802599,,
9000,32,0.06203550100326538,,0.0002,0.9999998211860657,0.018848635256290436,0.043186865746974945,,
10000,32,0.01739635318517685,0.02417911160737276,0.0002,0.055920690298080444,0.008630482479929924,0.008765870705246925,0.01017783647403121,0.014001274853944779
11000,32,0.023781921714544296,,0.0002,0.9617928862571716,0.00917038694024086,0.014611534774303436,,
12000,32,0.022152697667479515,,0.0002,0.9999992251396179,0.009192886762320995,0.01295981090515852,,
13000,32,0.018784862011671066,,0.0002,0.5191789865493774,0.007253608666360378,0.011531254276633263,,
14000,32,0.02519015595316887,,0.0002,0.9999992847442627,0.01035982370376587,0.014830333180725574,,
15000,32,0.017253452911973,0.02451073154807091,0.0002,0.0921442061662674,0.008761645294725895,0.008491807617247105,0.011400841549038887,0.013109889812767506
16000,32,0.02450389415025711,,0.0002,0.3337882161140442,0.009966198354959488,0.014537695795297623,,
17000,32,0.017782948911190033,,0.0002,0.10732495039701462,0.008939183317124844,0.008843764662742615,,
18000,32,0.02115362323820591,,0.0002,0.344307005405426,0.009975099936127663,0.011178523302078247,,
19000,32,0.021222233772277832,,0.0002,0.11652424186468124,0.009944627061486244,0.011277606710791588,,
20000,32,0.01961161382496357,0.018773700483143328,0.0002,0.33296915888786316,0.006810951977968216,0.012800661846995354,0.008890035981312393,0.009883664408698678
21000,32,0.015790563076734543,,0.0002,0.06684113293886185,0.007269439287483692,0.008521124720573425,,
22000,32,0.019146930426359177,,0.0002,0.21296299993991852,0.008683922700583935,0.010463007725775242,,
23000,32,0.022181376814842224,,0.0002,0.5505527257919312,0.008144231513142586,0.014037145301699638,,
24000,32,0.021342197433114052,,0.0002,0.09966308623552322,0.010638847947120667,0.010703349485993385,,
25000,32,0.022479280829429626,0.021920188330113888,0.0002,0.15748271346092224,0.008873064070940018,0.013606216758489609,0.008749003103002907,0.01317118494771421
26000,32,0.01961353048682213,,0.0002,0.5825740694999695,0.008769132196903229,0.0108443982899189,,
27000,32,0.023155638948082924,,0.0002,0.05042095482349396,0.011147115379571915,0.01200852356851101,,
28000,32,0.017676502466201782,,0.0002,0.0720277950167656,0.007684548385441303,0.009991955012083054,,
29000,32,0.016217276453971863,,0.0002,0.1151939108967781,0.008681822568178177,0.0075354548171162605,,
30000,32,0.020229581743478775,0.02355312593281269,0.0002,0.059276096522808075,0.010169584304094315,0.01005999743938446,0.009083793312311173,0.01446933252736926
31000,32,0.01612597145140171,,0.0002,0.04336613789200783,0.008842566050589085,0.007283404935151339,,
32000,32,0.028213048353791237,,0.0002,0.9999992251396179,0.01161733828485012,0.016595710068941116,,
33000,32,0.027831653133034706,,0.0002,0.9999995231628418,0.00959293358027935,0.018238719552755356,,
34000,32,0.015104110352694988,,0.0002,0.047765880823135376,0.006981367245316505,0.008122743107378483,,
35000,32,0.016312412917613983,0.019685393199324608,0.0002,0.09550218284130096,0.006753874011337757,0.009558537974953651,0.008728715032339096,0.010956678027287125
36000,32,0.016941621899604797,,0.0002,0.025883682072162628,0.008985748514533043,0.007955873385071754,,
37000,32,0.015327696688473225,,0.0002,0.12305430322885513,0.005982143804430962,0.009345552884042263,,
38000,32,0.02930852770805359,,0.0002,0.9999994039535522,0.015099849551916122,0.014208678156137466,,
39000,32,0.019774755463004112,,0.0002,0.3007183074951172,0.007399389520287514,0.012375365942716599,,
40000,32,0.01941438391804695,0.02105942964553833,0.0002,0.15911146998405457,0.007706421427428722,0.011707961559295654,0.009098237473517656,0.011961192544549703
41000,32,0.018498672172427177,,0.0002,0.012896544300019741,0.00976681150496006,0.008731860667467117,,
42000,32,0.01933099329471588,,0.0002,0.5203861594200134,0.006006765179336071,0.013324229046702385,,
43000,32,0.020112505182623863,,0.0002,0.10730113089084625,0.00710715027526021,0.01300535537302494,,
44000,32,0.01929682493209839,,0.0002,0.3067367970943451,0.008123891428112984,0.01117293443530798,,
45000,32,0.018141407519578934,0.018004167638719083,0.0002,0.028175754472613335,0.007450457196682692,0.010690949857234955,0.007844439055770636,0.010159728676080703
46000,32,0.01567966118454933,,0.0002,0.09032349288463593,0.0073064276948571205,0.008373234421014786,,
47000,32,0.020329706370830536,,0.0002,0.029509466141462326,0.010310041718184948,0.010019665583968163,,
48000,32,0.023845046758651733,,0.0002,0.09508085995912552,0.010730089619755745,0.013114958070218563,,
49000,32,0.019506722688674927,,0.0002,0.022678451612591743,0.010751014575362206,0.008755708113312721,,
50000,32,0.01965583860874176,0.02049828041344881,0.0002,0.0203920379281044,0.009698230773210526,0.00995760690420866,0.009637493640184402,0.010860786493867635
51000,32,0.02288084104657173,,0.0002,0.16877150535583496,0.010473668575286865,0.012407172471284866,,
52000,32,0.01802659034729004,,0.0002,0.0840134397149086,0.007884782738983631,0.010141806676983833,,
53000,32,0.0177445225417614,,0.0002,0.07947411388158798,0.006138373166322708,0.01160614937543869,,
54000,32,0.018330499529838562,,0.0002,0.16895374655723572,0.007417546585202217,0.01091295201331377,,
55000,32,0.02675635926425457,0.02003744188696146,0.0002,0.999999463558197,0.00816013291478157,0.018596226349473,0.009162513958290219,0.010874927882105112
56000,32,0.02049035206437111,,0.0002,0.11005064100027084,0.006602639798074961,0.013887711800634861,,
57000,32,0.019895579665899277,,0.0002,0.10756005346775055,0.007618064526468515,0.012277515605092049,,
58000,32,0.02153100073337555,,0.0002,0.03369313105940819,0.010361689142882824,0.01116931065917015,,
59000,32,0.019436992704868317,,0.0002,0.07839712500572205,0.009976017288863659,0.009460975416004658,,
60000,32,0.013933710753917694,0.0190221662633121,0.0002,0.011485104449093342,0.007497911807149649,0.006435799412429333,0.008872487396001816,0.010149678867310285
61000,32,0.01467292569577694,,0.0002,0.0489167757332325,0.006116379052400589,0.00855654664337635,,
62000,32,0.02075408771634102,,0.0002,0.06701774150133133,0.00858616828918457,0.012167919427156448,,
63000,32,0.01968347281217575,,0.0002,0.4587234854698181,0.006407673470675945,0.013275799341499805,,
64000,32,0.01943080499768257,,0.0002,0.025479312986135483,0.00951580610126257,0.009914999827742577,,
65000,32,0.0218071136623621,0.02004868518561125,0.0002,0.024082567542791367,0.010966837406158447,0.010840276256203651,0.00914007443934679,0.010908610932528973
66000,32,0.020342670381069183,,0.0002,0.02533300779759884,0.010389951057732105,0.009952720254659653,,
67000,32,0.022016875445842743,,0.0002,0.017941266298294067,0.012388497591018677,0.009628377854824066,,
68000,32,0.01904696226119995,,0.0002,0.038515593856573105,0.009334716945886612,0.009712244383990765,,
69000,32,0.017263829708099365,,0.0002,0.19542492926120758,0.006540849804878235,0.010722980834543705,,
70000,32,0.017167149111628532,0.019198515452444553,0.0002,0.14719994366168976,0.007820301689207554,0.009346847422420979,0.00907123861834407,0.010127276740968227
71000,32,0.014428677037358284,,0.0002,0.18743453919887543,0.006331935059279203,0.008096742443740368,,
72000,32,0.022641092538833618,,0.0002,0.06580332666635513,0.010771199129521847,0.011869892477989197,,
73000,32,0.020239263772964478,,0.0002,0.11506206542253494,0.008532864972949028,0.01170639880001545,,
74000,32,0.01761772111058235,,0.0002,0.025194179266691208,0.007162794470787048,0.010454926639795303,,
75000,32,0.02002880722284317,0.02048666886985302,0.0002,0.43429917097091675,0.00875950139015913,0.011269304901361465,0.00905250310897827,0.011434165760874748
76000,32,0.018773153424263,,0.0002,0.03063950128853321,0.008216545917093754,0.010556607507169247,,
77000,32,0.020006485283374786,,0.0002,0.21271558105945587,0.007494592107832432,0.01251189224421978,,
78000,32,0.015871966257691383,,0.0002,0.04774433374404907,0.00744840782135725,0.008423558436334133,,
79000,32,0.03894227743148804,,0.0002,0.9706728458404541,0.013933354988694191,0.025008920580148697,,
80000,32,0.0194719135761261,0.018769402429461478,0.0002,0.04854029789566994,0.008121897466480732,0.011350016109645367,0.008519678795710205,0.010249723773449659
81000,32,0.019506845623254776,,0.0002,0.022971145808696747,0.008039688691496849,0.011467156931757927,,
82000,32,0.018978526815772057,,0.0002,0.09230580925941467,0.008984370157122612,0.009994156658649445,,
83000,32,0.018450405448675156,,0.0002,0.016335276886820793,0.008882395923137665,0.009568008594214916,,
84000,32,0.026428014039993286,,0.0002,0.08282444626092911,0.012808430008590221,0.01361958496272564,,
85000,32,0.01964663714170456,0.01778587605804205,0.0002,0.07027116417884827,0.008417680859565735,0.011228956282138824,0.008157619694247841,0.009628256317228079
86000,32,0.019955649971961975,,0.0002,0.022931592538952827,0.00988873653113842,0.01006691437214613,,
87000,32,0.028374403715133667,,0.0002,0.9999993443489075,0.008058669045567513,0.020315734669566154,,
88000,32,0.01999807171523571,,0.0002,0.011412906460464,0.01150969136506319,0.00848838035017252,,
89000,32,0.017548229545354843,,0.0002,0.03054460510611534,0.007854395546019077,0.009693833999335766,,
90000,32,0.018995007500052452,0.020206660125404598,0.0002,0.010256564244627953,0.011055072769522667,0.007939934730529785,0.009462604159489274,0.010744055919349193
91000,32,0.02023538574576378,,0.0002,0.04700426012277603,0.009385151788592339,0.01085023395717144,,
92000,32,0.024118274450302124,,0.0002,0.18698592483997345,0.009798368439078331,0.014319905079901218,,
93000,32,0.019849753007292747,,0.0002,0.024723442271351814,0.010159824974834919,0.009689928032457829,,
94000,32,0.02102162502706051,,0.0002,0.03592481091618538,0.010946793481707573,0.010074831545352936,,
95000,32,0.016852127388119698,0.020030273590236902,0.0002,0.4578325152397156,0.005998912267386913,0.010853215120732784,0.009125941386446356,0.010904332250356674
96000,32,0.028943251818418503,,0.0002,0.9999992847442627,0.011246656067669392,0.017696594819426537,,
97000,32,0.015606708824634552,,0.0002,0.018033050000667572,0.008619208820164204,0.006987500004470348,,
98000,32,0.02010544016957283,,0.0002,0.05932842940092087,0.010054122656583786,0.010051317512989044,,
99000,32,0.017634211108088493,,0.0002,0.03510599583387375,0.009120332077145576,0.008513879030942917,,
100000,32,0.021315090358257294,0.018961390014737844,0.0002,0.10808174312114716,0.009904280304908752,0.011410809122025967,0.008163304021582007,0.010798085806891322
101000,32,0.019845467060804367,,0.0002,0.18741871416568756,0.00691758980974555,0.012927877716720104,,
102000,32,0.013704431243240833,,0.0002,0.03475550562143326,0.0060393838211894035,0.00766504742205143,,
103000,32,0.01729469746351242,,0.0002,0.07640619575977325,0.008347557857632637,0.008947139605879784,,
104000,32,0.020521968603134155,,0.0002,0.06460091471672058,0.009782291948795319,0.010739676654338837,,
105000,32,0.015653282403945923,0.01845577172935009,0.0002,0.08936388790607452,0.007727370597422123,0.007925910875201225,0.008785122726112603,0.009670648770406843
106000,32,0.02027272805571556,,0.0002,0.025434475392103195,0.009996781125664711,0.01027594693005085,,
107000,32,0.016445253044366837,,0.0002,0.32206764817237854,0.006959347054362297,0.009485906921327114,,
108000,32,0.017291150987148285,,0.0002,0.13199768960475922,0.008597858250141144,0.008693292737007141,,
109000,32,0.02454647794365883,,0.0002,0.06831680238246918,0.013035953044891357,0.011510525830090046,,
110000,32,0.014613386243581772,0.018361299019306897,0.0002,0.0155677804723382,0.006814483553171158,0.007798903156071901,0.008917545247823,0.009443754330277443
111000,32,0.012837396934628487,,0.0002,0.12336105853319168,0.005490482319146395,0.007346914149820805,,
112000,32,0.012937380000948906,,0.0002,0.01453733816742897,0.005860918201506138,0.007076462265104055,,
113000,32,0.01697768270969391,,0.0002,0.027685396373271942,0.008412168361246586,0.008565515279769897,,
114000,32,0.019587840884923935,,0.0002,0.1193346157670021,0.008116740733385086,0.011471100151538849,,
115000,32,0.023347806185483932,0.020668976288288832,0.0002,0.1558181196451187,0.010862335562705994,0.012485470622777939,0.009393044328317047,0.011275932053104043
116000,32,0.015623274259269238,,0.0002,0.12264561653137207,0.005785859189927578,0.00983741506934166,,
117000,32,0.033277858048677444,,0.0002,0.9999992847442627,0.014856419526040554,0.018421437591314316,,
118000,32,0.018661707639694214,,0.0002,0.07396479696035385,0.008962560445070267,0.009699147194623947,,
119000,32,0.015689413994550705,,0.0002,0.020831281319260597,0.007487375754863024,0.008202037774026394,,
