frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
689150.75,0,32,16384,512,1024,-60.0,60.0
652050.56,0,32,16384,512,2048,-60.0,60.0
632664.1,0,32,16384,512,4096,-60.0,60.0
621874.9,0,32,16384,512,8192,-60.0,60.0
617281.94,0,32,16384,512,16384,-60.0,60.0
614424.5,0,32,16384,512,32768,-60.0,60.0
612803.44,0,32,16384,512,65536,-60.0,60.0
1542564.8,0,32,16384,1024,2048,-60.0,60.0
1470316.8,0,32,16384,1024,4096,-60.0,60.0
1434717.5,0,32,16384,1024,8192,-60.0,60.0
1416426.8,0,32,16384,1024,16384,-60.0,60.0
1408150.4,0,32,16384,1024,32768,-60.0,60.0
1403535.1,0,32,16384,1024,65536,-60.0,60.0
3140975.8,0,32,16384,2048,4096,-60.0,60.0
3019453.2,0,32,16384,2048,8192,-60.0,60.0
2957240.2,0,32,16384,2048,16384,-60.0,60.0
2927500.0,0,32,16384,2048,32768,-60.0,60.0
2911488.0,0,32,16384,2048,65536,-60.0,60.0
6443598.0,0,32,16384,4096,8192,-60.0,60.0
6256368.5,0,32,16384,4096,16384,-60.0,60.0
6164139.5,0,32,16384,4096,32768,-60.0,60.0
6117375.0,0,32,16384,4096,65536,-60.0,60.0
40343.5,5000,32,16384,512,1024,-59.9921128568439,59.9921128568439
21097.781,5000,32,16384,512,2048,-59.9921128568439,59.9921128568439
11649.875,5000,32,16384,512,4096,-59.9921128568439,59.9921128568439
6817.3125,5000,32,16384,512,8192,-59.9921128568439,59.9921128568439
4443.3125,5000,32,16384,512,16384,-59.9921128568439,59.9921128568439
3219.5938,5000,32,16384,512,32768,-59.9921128568439,59.9921128568439
2599.3125,5000,32,16384,512,65536,-59.9921128568439,59.9921128568439
76888.69,5000,32,16384,1024,2048,-59.9921128568439,59.9921128568439
40805.375,5000,32,16384,1024,4096,-59.9921128568439,59.9921128568439
22657.688,5000,32,16384,1024,8192,-59.9921128568439,59.9921128568439
13616.1875,5000,32,16384,1024,16384,-59.9921128568439,59.9921128568439
8983.9375,5000,32,16384,1024,32768,-59.9921128568439,59.9921128568439
6685.5625,5000,32,16384,1024,65536,-59.9921128568439,59.9921128568439
141488.5,5000,32,16384,2048,4096,-59.9921128568439,59.9921128568439
75899.75,5000,32,16384,2048,8192,-59.9921128568439,59.9921128568439
42960.5,5000,32,16384,2048,16384,-59.9921128568439,59.9921128568439
26309.875,5000,32,16384,2048,32768,-59.9921128568439,59.9921128568439
17956.625,5000,32,16384,2048,65536,-59.9921128568439,59.9921128568439
245153.0,5000,32,16384,4096,8192,-59.9921128568439,59.9921128568439
134106.5,5000,32,16384,4096,16384,-59.9921128568439,59.9921128568439
77990.25,5000,32,16384,4096,32768,-59.9921128568439,59.9921128568439
49783.25,5000,32,16384,4096,65536,-59.9921128568439,59.9921128568439
40759.375,10000,32,16384,512,1024,-60.0,60.0
20751.969,10000,32,16384,512,2048,-60.0,60.0
10774.25,10000,32,16384,512,4096,-60.0,60.0
5815.25,10000,32,16384,512,8192,-60.0,60.0
3322.0312,10000,32,16384,512,16384,-60.0,60.0
2066.2188,10000,32,16384,512,32768,-60.0,60.0
1437.4375,10000,32,16384,512,65536,-60.0,60.0
77032.875,10000,32,16384,1024,2048,-60.0,60.0
39639.25,10000,32,16384,1024,4096,-60.0,60.0
20865.062,10000,32,16384,1024,8192,-60.0,60.0
11361.875,10000,32,16384,1024,16384,-60.0,60.0
6577.375,10000,32,16384,1024,32768,-60.0,60.0
4214.1875,10000,32,16384,1024,65536,-60.0,60.0
141062.62,10000,32,16384,2048,4096,-60.0,60.0
72965.375,10000,32,16384,2048,8192,-60.0,60.0
38696.5,10000,32,16384,2048,16384,-60.0,60.0
21451.25,10000,32,16384,2048,32768,-60.0,60.0
12815.25,10000,32,16384,2048,65536,-60.0,60.0
242126.5,10000,32,16384,4096,8192,-60.0,60.0
126385.25,10000,32,16384,4096,16384,-60.0,60.0
68148.0,10000,32,16384,4096,32768,-60.0,60.0
38913.0,10000,32,16384,4096,65536,-60.0,60.0
40529.594,15000,32,16384,512,1024,-60.0,60.0
20559.906,15000,32,16384,512,2048,-60.0,60.0
10713.531,15000,32,16384,512,4096,-60.0,60.0
5746.5,15000,32,16384,512,8192,-60.0,60.0
3282.3125,15000,32,16384,512,16384,-60.0,60.0
2027.9688,15000,32,16384,512,32768,-60.0,60.0
1396.8125,15000,32,16384,512,65536,-60.0,60.0
76446.5,15000,32,16384,1024,2048,-60.0,60.0
39275.562,15000,32,16384,1024,4096,-60.0,60.0
20661.938,15000,32,16384,1024,8192,-60.0,60.0
11284.9375,15000,32,16384,1024,16384,-60.0,60.0
6527.625,15000,32,16384,1024,32768,-60.0,60.0
4164.875,15000,32,16384,1024,65536,-60.0,60.0
139700.12,15000,32,16384,2048,4096,-60.0,60.0
72324.375,15000,32,16384,2048,8192,-60.0,60.0
38473.625,15000,32,16384,2048,16384,-60.0,60.0
21403.25,15000,32,16384,2048,32768,-60.0,60.0
12911.25,15000,32,16384,2048,65536,-60.0,60.0
237976.0,15000,32,16384,4096,8192,-60.0,60.0
125467.25,15000,32,16384,4096,16384,-60.0,60.0
68614.5,15000,32,16384,4096,32768,-60.0,60.0
40163.25,15000,32,16384,4096,65536,-60.0,60.0
40906.78,20000,32,16384,512,1024,-59.9921128568439,59.9921128568439
20958.0,20000,32,16384,512,2048,-59.9921128568439,59.9921128568439
10943.406,20000,32,16384,512,4096,-59.9921128568439,59.9921128568439
5926.9688,20000,32,16384,512,8192,-59.9921128568439,59.9921128568439
3399.1562,20000,32,16384,512,16384,-59.9921128568439,59.9921128568439
2129.5625,20000,32,16384,512,32768,-59.9921128568439,59.9921128568439
1488.4062,20000,32,16384,512,65536,-59.9921128568439,59.9921128568439
77657.81,20000,32,16384,1024,2048,-59.9921128568439,59.9921128568439
40098.0,20000,32,16384,1024,4096,-59.9921128568439,59.9921128568439
21173.625,20000,32,16384,1024,8192,-59.9921128568439,59.9921128568439
11636.625,20000,32,16384,1024,16384,-59.9921128568439,59.9921128568439
6845.0625,20000,32,16384,1024,32768,-59.9921128568439,59.9921128568439
4472.4375,20000,32,16384,1024,65536,-59.9921128568439,59.9921128568439
143082.75,20000,32,16384,2048,4096,-59.9921128568439,59.9921128568439
74425.375,20000,32,16384,2048,8192,-59.9921128568439,59.9921128568439
39843.625,20000,32,16384,2048,16384,-59.9921128568439,59.9921128568439
22494.5,20000,32,16384,2048,32768,-59.9921128568439,59.9921128568439
13820.125,20000,32,16384,2048,65536,-59.9921128568439,59.9921128568439
247847.75,20000,32,16384,4096,8192,-59.9921128568439,59.9921128568439
131076.25,20000,32,16384,4096,16384,-59.9921128568439,59.9921128568439
72148.5,20000,32,16384,4096,32768,-59.9921128568439,59.9921128568439
42695.5,20000,32,16384,4096,65536,-59.9921128568439,59.9921128568439
41476.75,30000,32,16384,512,1024,-60.0,60.0
21021.656,30000,32,16384,512,2048,-60.0,60.0
10663.656,30000,32,16384,512,4096,-60.0,60.0
5422.3125,30000,32,16384,512,8192,-60.0,60.0
2819.0625,30000,32,16384,512,16384,-60.0,60.0
1529.8438,30000,32,16384,512,32768,-60.0,60.0
872.625,30000,32,16384,512,65536,-60.0,60.0
78461.94,30000,32,16384,1024,2048,-60.0,60.0
39751.688,30000,32,16384,1024,4096,-60.0,60.0
20252.812,30000,32,16384,1024,8192,-60.0,60.0
10465.5625,30000,32,16384,1024,16384,-60.0,60.0
5519.3125,30000,32,16384,1024,32768,-60.0,60.0
3059.0625,30000,32,16384,1024,65536,-60.0,60.0
143414.0,30000,32,16384,2048,4096,-60.0,60.0
72637.875,30000,32,16384,2048,8192,-60.0,60.0
37094.5,30000,32,16384,2048,16384,-60.0,60.0
19309.0,30000,32,16384,2048,32768,-60.0,60.0
10377.0,30000,32,16384,2048,65536,-60.0,60.0
244091.5,30000,32,16384,4096,8192,-60.0,60.0
124360.75,30000,32,16384,4096,16384,-60.0,60.0
64079.75,30000,32,16384,4096,32768,-60.0,60.0
33874.25,30000,32,16384,4096,65536,-60.0,60.0
40177.156,40000,32,16384,512,1024,-60.0,60.0
21419.125,40000,32,16384,512,2048,-60.0,60.0
12025.125,40000,32,16384,512,4096,-60.0,60.0
7354.0312,40000,32,16384,512,8192,-60.0,60.0
4970.9062,40000,32,16384,512,16384,-60.0,60.0
3785.0312,40000,32,16384,512,32768,-60.0,60.0
3192.5625,40000,32,16384,512,65536,-60.0,60.0
75973.69,40000,32,16384,1024,2048,-60.0,60.0
41035.375,40000,32,16384,1024,4096,-60.0,60.0
23267.312,40000,32,16384,1024,8192,-60.0,60.0
14349.6875,40000,32,16384,1024,16384,-60.0,60.0
9824.4375,40000,32,16384,1024,32768,-60.0,60.0
7585.8125,40000,32,16384,1024,65536,-60.0,60.0
139421.88,40000,32,16384,2048,4096,-60.0,60.0
75590.0,40000,32,16384,2048,8192,-60.0,60.0
43338.75,40000,32,16384,2048,16384,-60.0,60.0
27039.5,40000,32,16384,2048,32768,-60.0,60.0
18949.75,40000,32,16384,2048,65536,-60.0,60.0
241026.5,40000,32,16384,4096,8192,-60.0,60.0
132064.25,40000,32,16384,4096,16384,-60.0,60.0
