batches,log_likelihood,neg_loglike,neg_log_likelihood
0,-19.18876522139494,,19.18876522139494
5000,-23.69291125129903,,23.69291125129903
10000,-20.185356896963334,,20.185356896963334
15000,-18.11880268789207,,18.11880268789207
20000,-16.735699568947183,,16.735699568947183
30000,-14.399232346367118,,14.399232346367118
40000,-14.185875418780373,,14.185875418780373
50000,-13.927993110091663,,13.927993110091663
60000,-13.229770248211949,,13.229770248211949
80000,-13.134026892328976,,13.134026892328976
100000,-12.847596360517516,,12.847596360517516
110000,-12.582566969949445,,12.582566969949445
120000,-12.282891588991262,,12.282891588991262
130000,-12.544910007782999,,12.544910007782999
140000,-12.279856024940408,,12.279856024940408
150000,-12.069350496708143,,12.069350496708143
160000,-12.137376862104638,,12.137376862104638
170000,-12.071027418500389,,12.071027418500389
180000,-11.983503469030547,,11.983503469030547
190000,-11.79464511719064,,11.79464511719064
200000,-11.883393721012885,,11.883393721012885
210000,-11.993912975302315,,11.993912975302315
220000,-11.878689509770428,,11.878689509770428
230000,-11.922824786148919,,11.922824786148919
240000,-11.813445000091512,,11.813445000091512
250000,-11.797357373622278,,11.797357373622278
