batches,log_likelihood,neg_log_likelihood
0,-34.262997714926975,34.262997714926975
5000,-18.870179369461916,18.870179369461916
10000,-17.30391381226014,17.30391381226014
20000,-21.403341344961746,21.403341344961746
40000,-19.34256429325444,19.34256429325444
60000,-18.2313617556493,18.2313617556493
80000,-19.664651141963546,19.664651141963546
100000,-17.618356476644387,17.618356476644387
110000,-17.337503749212082,17.337503749212082
120000,-16.21827746403393,16.21827746403393
130000,-15.490857004318809,15.490857004318809
140000,-15.142638026175302,15.142638026175302
150000,-15.179932738224467,15.179932738224467
160000,-14.535552366406794,14.535552366406794
170000,-14.173963231843967,14.173963231843967
180000,-14.681968582935166,14.681968582935166
190000,-14.218017356055325,14.218017356055325
200000,-13.752074393468266,13.752074393468266
210000,-13.774511661581576,13.774511661581576
220000,-13.642293709599866,13.642293709599866
230000,-13.868834850306683,13.868834850306683
240000,-13.524299477262158,13.524299477262158
250000,-13.384170657410817,13.384170657410817
300000,-13.31065981241019,13.31065981241019
400000,-13.41411159733421,13.41411159733421
450000,-13.104891437770313,13.104891437770313
500000,-13.331082527558575,13.331082527558575
600000,-13.155935426587764,13.155935426587764
700000,-13.274226382565445,13.274226382565445
