frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
814942.56,0,32,16384,512,1024,-60.0,60.0
768401.75,0,32,16384,512,2048,-60.0,60.0
745722.75,0,32,16384,512,4096,-60.0,60.0
734464.75,0,32,16384,512,8192,-60.0,60.0
729295.25,0,32,16384,512,16384,-60.0,60.0
726898.5,0,32,16384,512,32768,-60.0,60.0
725858.9,0,32,16384,512,65536,-60.0,60.0
1585572.2,0,32,16384,1024,2048,-60.0,60.0
1506693.0,0,32,16384,1024,4096,-60.0,60.0
1468280.8,0,32,16384,1024,8192,-60.0,60.0
1450228.8,0,32,16384,1024,16384,-60.0,60.0
1440880.4,0,32,16384,1024,32768,-60.0,60.0
1435953.8,0,32,16384,1024,65536,-60.0,60.0
3403690.0,0,32,16384,2048,4096,-60.0,60.0
3280304.5,0,32,16384,2048,8192,-60.0,60.0
3216832.0,0,32,16384,2048,16384,-60.0,60.0
3183346.8,0,32,16384,2048,32768,-60.0,60.0
3167731.5,0,32,16384,2048,65536,-60.0,60.0
7273169.5,0,32,16384,4096,8192,-60.0,60.0
7092539.5,0,32,16384,4096,16384,-60.0,60.0
6999388.5,0,32,16384,4096,32768,-60.0,60.0
6955870.5,0,32,16384,4096,65536,-60.0,60.0
43724.625,5000,32,16384,512,1024,-60.0,60.0
22330.062,5000,32,16384,512,2048,-60.0,60.0
11678.25,5000,32,16384,512,4096,-60.0,60.0
6330.5625,5000,32,16384,512,8192,-60.0,60.0
3648.1562,5000,32,16384,512,16384,-60.0,60.0
2307.0938,5000,32,16384,512,32768,-60.0,60.0
1613.125,5000,32,16384,512,65536,-60.0,60.0
83149.25,5000,32,16384,1024,2048,-60.0,60.0
42930.312,5000,32,16384,1024,4096,-60.0,60.0
22730.375,5000,32,16384,1024,8192,-60.0,60.0
12550.0,5000,32,16384,1024,16384,-60.0,60.0
7485.25,5000,32,16384,1024,32768,-60.0,60.0
4910.625,5000,32,16384,1024,65536,-60.0,60.0
152674.25,5000,32,16384,2048,4096,-60.0,60.0
79679.375,5000,32,16384,2048,8192,-60.0,60.0
42733.75,5000,32,16384,2048,16384,-60.0,60.0
24316.25,5000,32,16384,2048,32768,-60.0,60.0
14992.875,5000,32,16384,2048,65536,-60.0,60.0
262935.5,5000,32,16384,4096,8192,-60.0,60.0
139397.75,5000,32,16384,4096,16384,-60.0,60.0
77407.25,5000,32,16384,4096,32768,-60.0,60.0
46245.75,5000,32,16384,4096,65536,-60.0,60.0
48619.25,10000,32,16384,512,1024,-59.99605642842195,59.99605642842195
25795.469,10000,32,16384,512,2048,-59.99605642842195,59.99605642842195
14350.5625,10000,32,16384,512,4096,-59.99605642842195,59.99605642842195
8555.969,10000,32,16384,512,8192,-59.99605642842195,59.99605642842195
5728.1562,10000,32,16384,512,16384,-59.99605642842195,59.99605642842195
4294.5625,10000,32,16384,512,32768,-59.99605642842195,59.99605642842195
3550.2812,10000,32,16384,512,65536,-59.99605642842195,59.99605642842195
93284.625,10000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
49991.375,10000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
27987.25,10000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
17076.812,10000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
11634.125,10000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
8805.625,10000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
171819.75,10000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
92730.875,10000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
52897.625,10000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
32996.875,10000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
22834.125,10000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
297685.5,10000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
163397.0,10000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
95971.75,10000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
61833.5,10000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
39798.406,20000,32,16384,512,1024,-60.0,60.0
20782.469,20000,32,16384,512,2048,-60.0,60.0
11180.1875,20000,32,16384,512,4096,-60.0,60.0
6426.0625,20000,32,16384,512,8192,-60.0,60.0
3961.5625,20000,32,16384,512,16384,-60.0,60.0
2748.4375,20000,32,16384,512,32768,-60.0,60.0
2140.1562,20000,32,16384,512,65536,-60.0,60.0
76080.875,20000,32,16384,1024,2048,-60.0,60.0
39845.438,20000,32,16384,1024,4096,-60.0,60.0
21790.562,20000,32,16384,1024,8192,-60.0,60.0
12514.5625,20000,32,16384,1024,16384,-60.0,60.0
7930.0,20000,32,16384,1024,32768,-60.0,60.0
5654.875,20000,32,16384,1024,65536,-60.0,60.0
139273.38,20000,32,16384,2048,4096,-60.0,60.0
73931.125,20000,32,16384,2048,8192,-60.0,60.0
40669.875,20000,32,16384,2048,16384,-60.0,60.0
24101.125,20000,32,16384,2048,32768,-60.0,60.0
15803.625,20000,32,16384,2048,65536,-60.0,60.0
240381.0,20000,32,16384,4096,8192,-60.0,60.0
128984.5,20000,32,16384,4096,16384,-60.0,60.0
73194.25,20000,32,16384,4096,32768,-60.0,60.0
45373.75,20000,32,16384,4096,65536,-60.0,60.0
40949.5,40000,32,16384,512,1024,-59.9921128568439,59.9921128568439
21050.125,40000,32,16384,512,2048,-59.9921128568439,59.9921128568439
10931.0625,40000,32,16384,512,4096,-59.9921128568439,59.9921128568439
5923.0,40000,32,16384,512,8192,-59.9921128568439,59.9921128568439
3368.1875,40000,32,16384,512,16384,-59.9921128568439,59.9921128568439
2082.5,40000,32,16384,512,32768,-59.9921128568439,59.9921128568439
1453.5938,40000,32,16384,512,65536,-59.9921128568439,59.9921128568439
78446.375,40000,32,16384,1024,2048,-59.9921128568439,59.9921128568439
40310.062,40000,32,16384,1024,4096,-59.9921128568439,59.9921128568439
21287.688,40000,32,16384,1024,8192,-59.9921128568439,59.9921128568439
11669.4375,40000,32,16384,1024,16384,-59.9921128568439,59.9921128568439
6891.6875,40000,32,16384,1024,32768,-59.9921128568439,59.9921128568439
4524.625,40000,32,16384,1024,65536,-59.9921128568439,59.9921128568439
143752.0,40000,32,16384,2048,4096,-59.9921128568439,59.9921128568439
74986.5,40000,32,16384,2048,8192,-59.9921128568439,59.9921128568439
40130.875,40000,32,16384,2048,16384,-59.9921128568439,59.9921128568439
22804.0,40000,32,16384,2048,32768,-59.9921128568439,59.9921128568439
14144.125,40000,32,16384,2048,65536,-59.9921128568439,59.9921128568439
248151.25,40000,32,16384,4096,8192,-59.9921128568439,59.9921128568439
131294.5,40000,32,16384,4096,16384,-59.9921128568439,59.9921128568439
72842.25,40000,32,16384,4096,32768,-59.9921128568439,59.9921128568439
43614.25,40000,32,16384,4096,65536,-59.9921128568439,59.9921128568439
42257.562,60000,32,16384,512,1024,-60.0,60.0
25756.828,60000,32,16384,512,2048,-60.0,60.0
17394.984,60000,32,16384,512,4096,-60.0,60.0
13311.1875,60000,32,16384,512,8192,-60.0,60.0
11032.625,60000,32,16384,512,16384,-60.0,60.0
9966.406,60000,32,16384,512,32768,-60.0,60.0
9479.156,60000,32,16384,512,65536,-60.0,60.0
81739.25,60000,32,16384,1024,2048,-60.0,60.0
50322.344,60000,32,16384,1024,4096,-60.0,60.0
34790.344,60000,32,16384,1024,8192,-60.0,60.0
26454.438,60000,32,16384,1024,16384,-60.0,60.0
22395.938,60000,32,16384,1024,32768,-60.0,60.0
20486.312,60000,32,16384,1024,65536,-60.0,60.0
153590.31,60000,32,16384,2048,4096,-60.0,60.0
97298.06,60000,32,16384,2048,8192,-60.0,60.0
68048.25,60000,32,16384,2048,16384,-60.0,60.0
53502.5,60000,32,16384,2048,32768,-60.0,60.0
46473.25,60000,32,16384,2048,65536,-60.0,60.0
277699.5,60000,32,16384,4096,8192,-60.0,60.0
180658.0,60000,32,16384,4096,16384,-60.0,60.0
132072.25,60000,32,16384,4096,32768,-60.0,60.0
108389.0,60000,32,16384,4096,65536,-60.0,60.0
40742.47,80000,32,16384,512,1024,-59.99605642842195,59.99605642842195
23438.781,80000,32,16384,512,2048,-59.99605642842195,59.99605642842195
14875.0,80000,32,16384,512,4096,-59.99605642842195,59.99605642842195
10526.75,80000,32,16384,512,8192,-59.99605642842195,59.99605642842195
8243.531,80000,32,16384,512,16384,-59.99605642842195,59.99605642842195
7120.8438,80000,32,16384,512,32768,-59.99605642842195,59.99605642842195
6562.75,80000,32,16384,512,65536,-59.99605642842195,59.99605642842195
78792.875,80000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
46014.188,80000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
29692.375,80000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
21101.938,80000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
16867.062,80000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
14794.3125,80000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
147440.12,80000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
87952.75,80000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
57449.125,80000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
42265.25,80000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
34697.375,80000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
262132.25,80000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
160622.5,80000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
109750.0,80000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
84498.0,80000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
43342.703,100000,32,16384,512,1024,-60.0,60.0
27434.531,100000,32,16384,512,2048,-60.0,60.0
19272.188,100000,32,16384,512,4096,-60.0,60.0
15254.6875,100000,32,16384,512,8192,-60.0,60.0
13081.328,100000,32,16384,512,16384,-60.0,60.0
12048.75,100000,32,16384,512,32768,-60.0,60.0
11621.422,100000,32,16384,512,65536,-60.0,60.0
83983.06,100000,32,16384,1024,2048,-60.0,60.0
53603.5,100000,32,16384,1024,4096,-60.0,60.0
38436.0,100000,32,16384,1024,8192,-60.0,60.0
30488.781,100000,32,16384,1024,16384,-60.0,60.0
26635.062,100000,32,16384,1024,32768,-60.0,60.0
24850.875,100000,32,16384,1024,65536,-60.0,60.0
158333.88,100000,32,16384,2048,4096,-60.0,60.0
103600.75,100000,32,16384,2048,8192,-60.0,60.0
75369.19,100000,32,16384,2048,16384,-60.0,60.0
61484.125,100000,32,16384,2048,32768,-60.0,60.0
54813.625,100000,32,16384,2048,65536,-60.0,60.0
286382.62,100000,32,16384,4096,8192,-60.0,60.0
193299.75,100000,32,16384,4096,16384,-60.0,60.0
146815.5,100000,32,16384,4096,32768,-60.0,60.0
124218.125,100000,32,16384,4096,65536,-60.0,60.0
44854.875,110000,32,16384,512,1024,-60.0,60.0
29479.062,110000,32,16384,512,2048,-60.0,60.0
21640.484,110000,32,16384,512,4096,-60.0,60.0
17988.938,110000,32,16384,512,8192,-60.0,60.0
15861.0,110000,32,16384,512,16384,-60.0,60.0
14912.234,110000,32,16384,512,32768,-60.0,60.0
14432.266,110000,32,16384,512,65536,-60.0,60.0
87150.09,110000,32,16384,1024,2048,-60.0,60.0
57864.125,110000,32,16384,1024,4096,-60.0,60.0
43741.188,110000,32,16384,1024,8192,-60.0,60.0
35958.062,110000,32,16384,1024,16384,-60.0,60.0
32316.0,110000,32,16384,1024,32768,-60.0,60.0
30493.625,110000,32,16384,1024,65536,-60.0,60.0
164730.69,110000,32,16384,2048,4096,-60.0,60.0
113092.0,110000,32,16384,2048,8192,-60.0,60.0
85985.69,110000,32,16384,2048,16384,-60.0,60.0
72717.44,110000,32,16384,2048,32768,-60.0,60.0
66077.5,110000,32,16384,2048,65536,-60.0,60.0
303273.62,110000,32,16384,4096,8192,-60.0,60.0
213588.75,110000,32,16384,4096,16384,-60.0,60.0
169190.25,110000,32,16384,4096,32768,-60.0,60.0
147057.5,110000,32,16384,4096,65536,-60.0,60.0
44972.688,120000,32,16384,512,1024,-60.0,60.0
29922.578,120000,32,16384,512,2048,-60.0,60.0
22077.984,120000,32,16384,512,4096,-60.0,60.0
18233.281,120000,32,16384,512,8192,-60.0,60.0
