batches,log_likelihood,neg_loglike,neg_log_likelihood
0,-34.262997714926975,,34.262997714926975
5000,-16.771220146969455,,16.771220146969455
10000,-18.090522196256806,,18.090522196256806
20000,-17.371945448586356,,17.371945448586356
40000,-14.080688656136408,,14.080688656136408
60000,-13.397704825096003,,13.397704825096003
80000,-13.325285154168668,,13.325285154168668
100000,-13.446753754044877,,13.446753754044877
110000,-13.042117073386542,,13.042117073386542
120000,-13.36836241411578,,13.36836241411578
130000,-21.57153622686671,,21.57153622686671
140000,-20.542714298762256,,20.542714298762256
150000,-17.171863486089418,,17.171863486089418
160000,-15.85164063827301,,15.85164063827301
170000,-14.410411453948836,,14.410411453948836
180000,-14.242286814327798,,14.242286814327798
190000,-13.337575958683939,,13.337575958683939
200000,-13.076132667191782,,13.076132667191782
210000,-13.295325846792338,,13.295325846792338
