frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
1503121.2,0,32,16384,512,1024,-60.0,60.0
1474491.5,0,32,16384,512,2048,-60.0,60.0
1460750.8,0,32,16384,512,4096,-60.0,60.0
1452694.1,0,32,16384,512,8192,-60.0,60.0
1450024.2,0,32,16384,512,16384,-60.0,60.0
1448470.0,0,32,16384,512,32768,-60.0,60.0
1447660.2,0,32,16384,512,65536,-60.0,60.0
3035027.5,0,32,16384,1024,2048,-60.0,60.0
2986488.0,0,32,16384,1024,4096,-60.0,60.0
2964533.0,0,32,16384,1024,8192,-60.0,60.0
2953197.0,0,32,16384,1024,16384,-60.0,60.0
2946352.0,0,32,16384,1024,32768,-60.0,60.0
2943634.8,0,32,16384,1024,65536,-60.0,60.0
5990568.5,0,32,16384,2048,4096,-60.0,60.0
5912225.5,0,32,16384,2048,8192,-60.0,60.0
5872497.0,0,32,16384,2048,16384,-60.0,60.0
5853239.5,0,32,16384,2048,32768,-60.0,60.0
5843521.0,0,32,16384,2048,65536,-60.0,60.0
11984457.0,0,32,16384,4096,8192,-60.0,60.0
11867963.0,0,32,16384,4096,16384,-60.0,60.0
11811414.0,0,32,16384,4096,32768,-60.0,60.0
11782229.0,0,32,16384,4096,65536,-60.0,60.0
61365.83,5000,32,16384,512,1024,-60.0,60.0
50571.188,5000,32,16384,512,2048,-60.0,60.0
44599.86,5000,32,16384,512,4096,-60.0,60.0
42096.844,5000,32,16384,512,8192,-60.0,60.0
40836.78,5000,32,16384,512,16384,-60.0,60.0
40116.89,5000,32,16384,512,32768,-60.0,60.0
39747.484,5000,32,16384,512,65536,-60.0,60.0
121893.34,5000,32,16384,1024,2048,-60.0,60.0
99722.41,5000,32,16384,1024,4096,-60.0,60.0
89708.47,5000,32,16384,1024,8192,-60.0,60.0
84637.53,5000,32,16384,1024,16384,-60.0,60.0
81926.81,5000,32,16384,1024,32768,-60.0,60.0
80552.19,5000,32,16384,1024,65536,-60.0,60.0
236027.5,5000,32,16384,2048,4096,-60.0,60.0
199023.38,5000,32,16384,2048,8192,-60.0,60.0
180021.31,5000,32,16384,2048,16384,-60.0,60.0
170230.69,5000,32,16384,2048,32768,-60.0,60.0
165252.81,5000,32,16384,2048,65536,-60.0,60.0
457712.88,5000,32,16384,4096,8192,-60.0,60.0
392924.0,5000,32,16384,4096,16384,-60.0,60.0
359589.38,5000,32,16384,4096,32768,-60.0,60.0
342854.88,5000,32,16384,4096,65536,-60.0,60.0
50852.42,10000,32,16384,512,1024,-60.0,60.0
38149.875,10000,32,16384,512,2048,-60.0,60.0
31557.39,10000,32,16384,512,4096,-60.0,60.0
28638.078,10000,32,16384,512,8192,-60.0,60.0
27110.484,10000,32,16384,512,16384,-60.0,60.0
26308.266,10000,32,16384,512,32768,-60.0,60.0
25874.297,10000,32,16384,512,65536,-60.0,60.0
100663.125,10000,32,16384,1024,2048,-60.0,60.0
75437.28,10000,32,16384,1024,4096,-60.0,60.0
63625.406,10000,32,16384,1024,8192,-60.0,60.0
57619.688,10000,32,16384,1024,16384,-60.0,60.0
54557.188,10000,32,16384,1024,32768,-60.0,60.0
52997.312,10000,32,16384,1024,65536,-60.0,60.0
192113.06,10000,32,16384,2048,4096,-60.0,60.0
148795.81,10000,32,16384,2048,8192,-60.0,60.0
126671.94,10000,32,16384,2048,16384,-60.0,60.0
115590.19,10000,32,16384,2048,32768,-60.0,60.0
109933.19,10000,32,16384,2048,65536,-60.0,60.0
362267.25,10000,32,16384,4096,8192,-60.0,60.0
288162.12,10000,32,16384,4096,16384,-60.0,60.0
250619.62,10000,32,16384,4096,32768,-60.0,60.0
231711.12,10000,32,16384,4096,65536,-60.0,60.0
39722.516,20000,32,16384,512,1024,-60.0,60.0
21818.375,20000,32,16384,512,2048,-60.0,60.0
12694.4375,20000,32,16384,512,4096,-60.0,60.0
8232.25,20000,32,16384,512,8192,-60.0,60.0
5967.4375,20000,32,16384,512,16384,-60.0,60.0
4804.5625,20000,32,16384,512,32768,-60.0,60.0
4255.0312,20000,32,16384,512,65536,-60.0,60.0
76631.5,20000,32,16384,1024,2048,-60.0,60.0
42090.188,20000,32,16384,1024,4096,-60.0,60.0
25019.438,20000,32,16384,1024,8192,-60.0,60.0
16482.125,20000,32,16384,1024,16384,-60.0,60.0
12118.5625,20000,32,16384,1024,32768,-60.0,60.0
9981.4375,20000,32,16384,1024,65536,-60.0,60.0
140958.0,20000,32,16384,2048,4096,-60.0,60.0
79466.5,20000,32,16384,2048,8192,-60.0,60.0
48373.375,20000,32,16384,2048,16384,-60.0,60.0
32700.125,20000,32,16384,2048,32768,-60.0,60.0
24860.75,20000,32,16384,2048,65536,-60.0,60.0
247151.0,20000,32,16384,4096,8192,-60.0,60.0
143111.25,20000,32,16384,4096,16384,-60.0,60.0
90420.5,20000,32,16384,4096,32768,-60.0,60.0
64118.5,20000,32,16384,4096,65536,-60.0,60.0
39841.78,40000,32,16384,512,1024,-60.0,60.0
22202.625,40000,32,16384,512,2048,-60.0,60.0
13165.3125,40000,32,16384,512,4096,-60.0,60.0
8697.3125,40000,32,16384,512,8192,-60.0,60.0
6461.8125,40000,32,16384,512,16384,-60.0,60.0
5335.0938,40000,32,16384,512,32768,-60.0,60.0
4788.7188,40000,32,16384,512,65536,-60.0,60.0
77031.41,40000,32,16384,1024,2048,-60.0,60.0
42645.562,40000,32,16384,1024,4096,-60.0,60.0
25752.625,40000,32,16384,1024,8192,-60.0,60.0
17320.688,40000,32,16384,1024,16384,-60.0,60.0
13102.75,40000,32,16384,1024,32768,-60.0,60.0
10970.75,40000,32,16384,1024,65536,-60.0,60.0
141180.0,40000,32,16384,2048,4096,-60.0,60.0
80606.375,40000,32,16384,2048,8192,-60.0,60.0
49776.5,40000,32,16384,2048,16384,-60.0,60.0
34342.25,40000,32,16384,2048,32768,-60.0,60.0
26570.625,40000,32,16384,2048,65536,-60.0,60.0
248024.25,40000,32,16384,4096,8192,-60.0,60.0
144712.5,40000,32,16384,4096,16384,-60.0,60.0
92783.25,40000,32,16384,4096,32768,-60.0,60.0
66736.5,40000,32,16384,4096,65536,-60.0,60.0
39870.47,60000,32,16384,512,1024,-60.0,60.0
20767.656,60000,32,16384,512,2048,-60.0,60.0
11187.875,60000,32,16384,512,4096,-60.0,60.0
6347.375,60000,32,16384,512,8192,-60.0,60.0
3923.0,60000,32,16384,512,16384,-60.0,60.0
2702.625,60000,32,16384,512,32768,-60.0,60.0
2086.7188,60000,32,16384,512,65536,-60.0,60.0
76727.25,60000,32,16384,1024,2048,-60.0,60.0
40090.438,60000,32,16384,1024,4096,-60.0,60.0
21805.375,60000,32,16384,1024,8192,-60.0,60.0
