batches,log_likelihood,neg_loglike,neg_log_likelihood
0,-21.757734917365703,,21.757734917365703
5000,-18.059903535010086,,18.059903535010086
10000,-11.98706237971866,,11.98706237971866
20000,-14.898144938877905,,14.898144938877905
40000,-18.885671174172373,,18.885671174172373
60000,-20.06514652132848,,20.06514652132848
80000,-20.01704127691013,,20.01704127691013
100000,-19.935314255296213,,19.935314255296213
110000,-19.95676604710838,,19.95676604710838
120000,-19.79176329910687,,19.79176329910687
130000,-19.706387750753215,,19.706387750753215
140000,-19.297456664830385,,19.297456664830385
150000,-19.497875689486786,,19.497875689486786
160000,-19.569078746644198,,19.569078746644198
170000,-19.38033243116862,,19.38033243116862
180000,-19.602012330888464,,19.602012330888464
190000,-19.564547095352175,,19.564547095352175
200000,-19.835847148792595,,19.835847148792595
210000,-19.498802390959362,,19.498802390959362
220000,-19.597174742211273,,19.597174742211273
230000,-19.793455310202372,,19.793455310202372
240000,-19.55373590621641,,19.55373590621641
250000,-19.84024446034182,,19.84024446034182
300000,-20.07269481471899,,20.07269481471899
400000,-19.871416316648997,,19.871416316648997
450000,-19.84143108396151,,19.84143108396151
500000,-19.85254247079961,,19.85254247079961
600000,-19.300171116632907,,19.300171116632907
700000,-19.239316990639598,,19.239316990639598
800000,-19.123593481927998,,19.123593481927998
900000,-18.88829443900365,,18.88829443900365
