frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
1503121.2,0,32,16384,512,1024,-60.0,60.0
1474491.5,0,32,16384,512,2048,-60.0,60.0
1460750.8,0,32,16384,512,4096,-60.0,60.0
1452694.1,0,32,16384,512,8192,-60.0,60.0
1450024.2,0,32,16384,512,16384,-60.0,60.0
1448470.0,0,32,16384,512,32768,-60.0,60.0
1447660.2,0,32,16384,512,65536,-60.0,60.0
3035027.5,0,32,16384,1024,2048,-60.0,60.0
2986488.0,0,32,16384,1024,4096,-60.0,60.0
2964533.0,0,32,16384,1024,8192,-60.0,60.0
2953197.0,0,32,16384,1024,16384,-60.0,60.0
2946352.0,0,32,16384,1024,32768,-60.0,60.0
2943634.8,0,32,16384,1024,65536,-60.0,60.0
5990568.5,0,32,16384,2048,4096,-60.0,60.0
5912225.5,0,32,16384,2048,8192,-60.0,60.0
5872497.0,0,32,16384,2048,16384,-60.0,60.0
5853239.5,0,32,16384,2048,32768,-60.0,60.0
5843521.0,0,32,16384,2048,65536,-60.0,60.0
11984457.0,0,32,16384,4096,8192,-60.0,60.0
11867963.0,0,32,16384,4096,16384,-60.0,60.0
11811414.0,0,32,16384,4096,32768,-60.0,60.0
11782229.0,0,32,16384,4096,65536,-60.0,60.0
42492.203,5000,32,16384,512,1024,-60.0,60.0
26688.094,5000,32,16384,512,2048,-60.0,60.0
18483.844,5000,32,16384,512,4096,-60.0,60.0
14473.203,5000,32,16384,512,8192,-60.0,60.0
12348.1875,5000,32,16384,512,16384,-60.0,60.0
11287.219,5000,32,16384,512,32768,-60.0,60.0
10823.75,5000,32,16384,512,65536,-60.0,60.0
82404.81,5000,32,16384,1024,2048,-60.0,60.0
51963.375,5000,32,16384,1024,4096,-60.0,60.0
36545.344,5000,32,16384,1024,8192,-60.0,60.0
28763.188,5000,32,16384,1024,16384,-60.0,60.0
24809.5,5000,32,16384,1024,32768,-60.0,60.0
22991.406,5000,32,16384,1024,65536,-60.0,60.0
154590.62,5000,32,16384,2048,4096,-60.0,60.0
99746.31,5000,32,16384,2048,8192,-60.0,60.0
71719.25,5000,32,16384,2048,16384,-60.0,60.0
57592.5,5000,32,16384,2048,32768,-60.0,60.0
50873.188,5000,32,16384,2048,65536,-60.0,60.0
279624.5,5000,32,16384,4096,8192,-60.0,60.0
186167.0,5000,32,16384,4096,16384,-60.0,60.0
139295.75,5000,32,16384,4096,32768,-60.0,60.0
116389.375,5000,32,16384,4096,65536,-60.0,60.0
42347.188,10000,32,16384,512,1024,-60.0,60.0
21632.656,10000,32,16384,512,2048,-60.0,60.0
11328.75,10000,32,16384,512,4096,-60.0,60.0
6148.9062,10000,32,16384,512,8192,-60.0,60.0
3533.8438,10000,32,16384,512,16384,-60.0,60.0
2226.8125,10000,32,16384,512,32768,-60.0,60.0
1564.3125,10000,32,16384,512,65536,-60.0,60.0
80528.94,10000,32,16384,1024,2048,-60.0,60.0
41648.062,10000,32,16384,1024,4096,-60.0,60.0
22127.125,10000,32,16384,1024,8192,-60.0,60.0
12234.4375,10000,32,16384,1024,16384,-60.0,60.0
7327.5,10000,32,16384,1024,32768,-60.0,60.0
4858.25,10000,32,16384,1024,65536,-60.0,60.0
147873.5,10000,32,16384,2048,4096,-60.0,60.0
77898.0,10000,32,16384,2048,8192,-60.0,60.0
42392.75,10000,32,16384,2048,16384,-60.0,60.0
24598.25,10000,32,16384,2048,32768,-60.0,60.0
15681.125,10000,32,16384,2048,65536,-60.0,60.0
256742.75,10000,32,16384,4096,8192,-60.0,60.0
138462.0,10000,32,16384,4096,16384,-60.0,60.0
79191.25,10000,32,16384,4096,32768,-60.0,60.0
49546.5,10000,32,16384,4096,65536,-60.0,60.0
39882.5,20000,32,16384,512,1024,-60.0,60.0
21246.0,20000,32,16384,512,2048,-60.0,60.0
11968.156,20000,32,16384,512,4096,-60.0,60.0
7317.0312,20000,32,16384,512,8192,-60.0,60.0
4848.9688,20000,32,16384,512,16384,-60.0,60.0
3675.1875,20000,32,16384,512,32768,-60.0,60.0
3102.5625,20000,32,16384,512,65536,-60.0,60.0
76063.31,20000,32,16384,1024,2048,-60.0,60.0
41097.438,20000,32,16384,1024,4096,-60.0,60.0
23448.0,20000,32,16384,1024,8192,-60.0,60.0
14397.9375,20000,32,16384,1024,16384,-60.0,60.0
9980.4375,20000,32,16384,1024,32768,-60.0,60.0
7786.0625,20000,32,16384,1024,65536,-60.0,60.0
140534.38,20000,32,16384,2048,4096,-60.0,60.0
77176.875,20000,32,16384,2048,8192,-60.0,60.0
44923.5,20000,32,16384,2048,16384,-60.0,60.0
28840.625,20000,32,16384,2048,32768,-60.0,60.0
20907.25,20000,32,16384,2048,65536,-60.0,60.0
245536.25,20000,32,16384,4096,8192,-60.0,60.0
138452.75,20000,32,16384,4096,16384,-60.0,60.0
85019.0,20000,32,16384,4096,32768,-60.0,60.0
58378.25,20000,32,16384,4096,65536,-60.0,60.0
40111.562,40000,32,16384,512,1024,-60.0,60.0
21642.75,40000,32,16384,512,2048,-60.0,60.0
12380.75,40000,32,16384,512,4096,-60.0,60.0
7770.25,40000,32,16384,512,8192,-60.0,60.0
5312.7812,40000,32,16384,512,16384,-60.0,60.0
4135.1562,40000,32,16384,512,32768,-60.0,60.0
3577.2812,40000,32,16384,512,65536,-60.0,60.0
76673.19,40000,32,16384,1024,2048,-60.0,60.0
41880.125,40000,32,16384,1024,4096,-60.0,60.0
24442.438,40000,32,16384,1024,8192,-60.0,60.0
15367.0625,40000,32,16384,1024,16384,-60.0,60.0
10922.75,40000,32,16384,1024,32768,-60.0,60.0
8745.5,40000,32,16384,1024,65536,-60.0,60.0
141829.38,40000,32,16384,2048,4096,-60.0,60.0
78818.375,40000,32,16384,2048,8192,-60.0,60.0
46543.75,40000,32,16384,2048,16384,-60.0,60.0
30487.75,40000,32,16384,2048,32768,-60.0,60.0
22561.0,40000,32,16384,2048,65536,-60.0,60.0
248953.75,40000,32,16384,4096,8192,-60.0,60.0
141499.25,40000,32,16384,4096,16384,-60.0,60.0
87796.75,40000,32,16384,4096,32768,-60.0,60.0
61112.5,40000,32,16384,4096,65536,-60.0,60.0
41156.188,60000,32,16384,512,1024,-59.99605642842195,59.99605642842195
21167.719,60000,32,16384,512,2048,-59.99605642842195,59.99605642842195
11186.219,60000,32,16384,512,4096,-59.99605642842195,59.99605642842195
6275.0625,60000,32,16384,512,8192,-59.99605642842195,59.99605642842195
3720.7812,60000,32,16384,512,16384,-59.99605642842195,59.99605642842195
2444.4062,60000,32,16384,512,32768,-59.99605642842195,59.99605642842195
1826.625,60000,32,16384,512,65536,-59.99605642842195,59.99605642842195
78520.125,60000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
