batches,log_likelihood,neg_loglike,neg_log_likelihood
0,-21.990145744398966,,21.990145744398966
5000,-19.148573306006078,,19.148573306006078
10000,-12.683124485420706,,12.683124485420706
20000,-12.503917879812693,,12.503917879812693
40000,-17.00030164927953,,17.00030164927953
60000,-18.555419335375184,,18.555419335375184
80000,-18.689138487972947,,18.689138487972947
100000,-19.15172678173298,,19.15172678173298
110000,-19.412072618097753,,19.412072618097753
120000,-19.03076849494702,,19.03076849494702
130000,-19.464840483368018,,19.464840483368018
140000,-19.35423958302477,,19.35423958302477
150000,-19.44680707540364,,19.44680707540364
160000,-19.2013488754342,,19.2013488754342
170000,-18.515583452554214,,18.515583452554214
180000,-19.155960495563647,,19.155960495563647
190000,-19.096805056720477,,19.096805056720477
200000,-18.72222705221396,,18.72222705221396
210000,-18.656998781437714,,18.656998781437714
220000,-19.037037600568198,,19.037037600568198
230000,-18.608529914510797,,18.608529914510797
