feature_dim,FD,-CI,+CI,FD_pval,lambda_lines_2d,lambda_points_line_2d,lambda_clutter,lambda_circle,lambda_points_circle,lambda_rectangle_2d,lambda_points_rectangle_2d,lambda_rect_outline_2d,lambda_points_rect_outline_2d,category,overall_rank,category_rank
4096,566.1037239647703,-523.7429608129582,1655.950408742499,0.15496704756383997,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,lines,1,1
4096,1426.2051264043548,551.6727977964483,2300.7374550122613,0.01971171286535571,8.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,lines,2,2
4096,4714.052932916067,3959.018108921404,5469.087756910731,0.0013828367110575684,20.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,lines,3,3
4096,6774.691004103526,5953.535498170914,7595.846510036138,0.0007926521445589094,25.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,lines,4,4
4096,12993.633883153692,11219.940357272915,14767.32740903447,0.0010050050256654119,5.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,lines,5,5
4096,14911.003999976994,13689.264065172112,16132.743934781876,0.00036243907872740214,0.0,0.0,50.0,0.0,0.0,0.0,0.0,10.0,20.0,rect_outline,6,1
4096,15982.356542351357,15768.353296550034,16196.35978815268,9.684566629965839e-06,0.0,0.0,50.0,25.0,8.0,0.0,0.0,0.0,0.0,circles,7,1
4096,16021.49580132409,15634.101326526996,16408.890276121187,3.1579668063199565e-05,0.0,0.0,50.0,20.0,10.0,0.0,0.0,0.0,0.0,circles,8,2
4096,16111.169776469826,15138.111076837848,17084.2284761018,0.00019698039533041608,0.0,0.0,50.0,0.0,0.0,0.0,0.0,20.0,10.0,rect_outline,9,2
4096,16479.977210766097,15276.526632641187,17683.427788891007,0.000287927479957625,0.0,0.0,50.0,0.0,0.0,0.0,0.0,8.0,25.0,rect_outline,10,3
4096,17273.811388532285,16371.091350643128,18176.531426421443,0.000147489512203308,0.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,8.0,rect_outline,11,4
4096,22407.75398313997,21960.197752021326,22855.310214258614,2.1548246375317084e-05,0.0,0.0,50.0,10.0,20.0,0.0,0.0,0.0,0.0,circles,12,3
4096,27544.420814508747,26454.376163604495,28634.465465413,8.458504625921356e-05,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,40.0,rect_outline,13,5
4096,28530.35878102175,28303.349543678003,28757.368018365498,3.419776902460742e-06,0.0,0.0,50.0,8.0,25.0,0.0,0.0,0.0,0.0,circles,14,4
4096,29616.94377752838,28751.255375222972,30482.63217983379,4.6146637726387155e-05,0.0,0.0,50.0,0.0,0.0,10.0,20.0,0.0,0.0,rectangles,15,1
4096,29889.27694184603,28963.113743918115,30815.440139773946,5.186063687957752e-05,0.0,0.0,50.0,0.0,0.0,8.0,25.0,0.0,0.0,rectangles,16,2
4096,30988.129439030425,29935.650471244004,32040.608406816846,6.230500696636923e-05,0.0,0.0,50.0,0.0,0.0,20.0,10.0,0.0,0.0,rectangles,17,3
4096,31428.714564455593,30586.231453312117,32271.19767559907,3.881247112866191e-05,0.0,0.0,50.0,0.0,0.0,25.0,8.0,0.0,0.0,rectangles,18,4
4096,31980.988602399724,30693.270583251782,33268.706621547666,8.756451365091121e-05,0.0,0.0,50.0,0.0,0.0,5.0,40.0,0.0,0.0,rectangles,19,5
4096,53584.065450308015,51780.98290496078,55387.14799565525,6.115718186740414e-05,0.0,0.0,50.0,5.0,40.0,0.0,0.0,0.0,0.0,circles,20,5
