frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
21856.047,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,512,,,1000
10963.141,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,1024,,,1000
5529.922,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,2048,,,1000
2827.0625,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,4096,,,1000
1430.5781,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,8192,,,1000
739.1875,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,16384,,,1000
394.42188,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,32768,,,1000
219.6875,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,256,65536,,,1000
42233.562,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,512,1024,,,1000
21354.031,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,512,2048,,,1000
10768.156,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 20, 'lambda_points_line_2d': 10, 'lambda_clutter': 50}",16384,512,4096,,,1000
