frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
11879.316,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,256,,,1000
7492.625,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,512,,,1000
5472.7266,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,1024,,,1000
4310.7344,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,2048,,,1000
3838.1523,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,4096,,,1000
3586.8945,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,8192,,,1000
3452.293,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,16384,,,1000
3417.121,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,32768,,,1000
3372.4688,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,128,65536,,,1000
22580.617,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,512,,,1000
14657.266,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,1024,,,1000
10470.531,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,2048,,,1000
8594.32,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,4096,,,1000
7656.992,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,8192,,,1000
7220.5938,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,16384,,,1000
6993.875,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,32768,,,1000
6858.1484,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,256,65536,,,1000
44732.453,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,1024,,,1000
28803.39,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,2048,,,1000
21205.047,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,4096,,,1000
17431.375,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,8192,,,1000
15525.156,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,16384,,,1000
14604.8125,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,32768,,,1000
14066.891,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,512,65536,,,1000
85677.28,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,1024,2048,,,1000
56796.47,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,1024,4096,,,1000
42158.594,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,1024,8192,,,1000
34845.906,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}",16384,1024,16384,,,1000
