frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
12750.117,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,256,,,1000
9284.465,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,512,,,1000
7398.961,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,1024,,,1000
6752.6836,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,2048,,,1000
6345.3438,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,4096,,,1000
6123.035,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,8192,,,1000
5991.742,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,16384,,,1000
5910.1367,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,32768,,,1000
5898.621,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,128,65536,,,1000
25834.875,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,256,512,,,1000
18598.023,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,256,1024,,,1000
15620.156,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,256,2048,,,1000
13856.758,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,256,4096,,,1000
12845.32,"{'lambda_lines_2d': 10, 'lambda_points_line_2d': 20, 'lambda_clutter': 50}","{'lambda_lines_2d': 10, 'lambda_points_line_2d': 5, 'lambda_clutter': 50}",16384,256,8192,,,1000
