frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
1080.8887,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,256,,,1000
486.69336,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,512,,,1000
247.90625,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,1024,,,1000
138.0293,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,2048,,,1000
72.146484,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,4096,,,1000
37.970703,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,8192,,,1000
17.167969,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,16384,,,1000
9.644531,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,32768,,,1000
4.642578,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,65536,,,1000
2.5136719,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,32,131072,,,1000
4050.129,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,256,,,1000
1988.1719,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,512,,,1000
945.5469,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,1024,,,1000
493.16797,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,2048,,,1000
241.14844,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,4096,,,1000
131.0039,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,8192,,,1000
62.84375,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,16384,,,1000
35.160156,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,32768,,,1000
17.304688,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,65536,,,1000
8.910156,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,64,131072,,,1000
14910.719,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,128,256,,,1000
7431.3438,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,128,512,,,1000
3761.7188,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,128,1024,,,1000
1983.1328,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,128,2048,,,1000
982.7422,"{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}","{'lambda_circle': 3, 'lambda_points_circle': 75, 'lambda_clutter': 30}",16384,128,4096,,,1000
