frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
727.4219,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,256,,,1000
351.42773,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,512,,,1000
209.48242,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,1024,,,1000
111.671875,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,2048,,,1000
50.414062,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,4096,,,1000
25.384766,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,8192,,,1000
12.3515625,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,16384,,,1000
6.125,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,32768,,,1000
2.9765625,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,32,65536,,,1000
2975.332,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,256,,,1000
1604.2695,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,512,,,1000
753.4453,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,1024,,,1000
366.85156,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,2048,,,1000
180.57422,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,4096,,,1000
91.203125,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,8192,,,1000
45.734375,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,16384,,,1000
23.496094,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,32768,,,1000
11.597656,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,64,65536,,,1000
10924.141,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,128,256,,,1000
5705.086,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,128,512,,,1000
2838.6797,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,128,1024,,,1000
1418.4766,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,128,2048,,,1000
709.5625,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,128,4096,,,1000
349.2578,"{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}","{'lambda_circle': 1, 'lambda_points_circle': 40, 'lambda_rect_outline_2d': 2, 'lambda_points_rect_outline_2d': 40, 'lambda_lines_2d': 4, 'lambda_points_line_2d': 20, 'lambda_clutter': 40}",16384,128,8192,,,1000
