frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
755.3457,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,256,,,1000
368.59766,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,512,,,1000
184.44922,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,1024,,,1000
103.52539,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,2048,,,1000
56.109375,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,4096,,,1000
27.30664,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,8192,,,1000
14.568359,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,16384,,,1000
6.7929688,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,32768,,,1000
3.109375,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,65536,,,1000
1.6035156,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,32,131072,,,1000
3118.6133,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,256,,,1000
1572.3008,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,512,,,1000
753.47656,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,1024,,,1000
393.76172,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,2048,,,1000
203.11719,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,4096,,,1000
100.75391,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,8192,,,1000
50.496094,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,16384,,,1000
23.800781,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,32768,,,1000
12.917969,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,65536,,,1000
6.1679688,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,64,131072,,,1000
11240.031,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,128,256,,,1000
5672.3438,"{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}","{'lambda_rectangle_2d': 2, 'lambda_points_rectangle_2d': 100, 'lambda_clutter': 40}",16384,128,512,,,1000
