frechet_distance,reference_params,comparison_params,data_dim,feature_dim,dataset_size,log_likelihood,neg_log_likelihood,log_like_samples
764.4336,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,256,,,1000
400.35742,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,512,,,1000
198.49805,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,1024,,,1000
93.4707,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,2048,,,1000
49.291016,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,4096,,,1000
27.365234,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,8192,,,1000
13.958984,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,16384,,,1000
6.3691406,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,32768,,,1000
3.2597656,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,32,65536,,,1000
3276.6445,"{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}","{'lambda_rect_outline_2d': 4, 'lambda_points_rect_outline_2d': 50, 'lambda_clutter': 40}",16384,64,256,,,1000
